Symbol,YTW %,Price %,Coupon %,Maturity date,Outstanding amt,Face value,S&P rating,Fitch rating,Issuer
US37833ER7Apple Inc. 4.1% 08-AUG-2062,0.0582,0.7412,0.041,2062-08-08 00:00:00,1.25 B USD,"1,000.00 USD",AA+,—,"Apple, Inc."
US37833DQ0Apple Inc. 2.95% 11-SEP-2049,0.0582,0.6373,0.0295,2049-09-11 00:00:00,1.5 B USD,"1,000.00 USD",AA+,—,"Apple, Inc."
US37833EL0Apple Inc. 2.85% 05-AUG-2061,0.0581,0.5584,0.0285,2061-08-05 00:00:00,1.4 B USD,"1,000.00 USD",AA+,—,"Apple, Inc."
US37833EK2Apple Inc. 2.7% 05-AUG-2051,0.058,0.5927,0.027,2051-08-05 00:00:00,1.8 B USD,"1,000.00 USD",AA+,—,"Apple, Inc."
US37833EG1Apple Inc. 2.8% 08-FEB-2061,0.058,0.5544,0.028,2061-02-08 00:00:00,1.75 B USD,"1,000.00 USD",AA+,—,"Apple, Inc."
US37833DD9Apple Inc. 3.75% 12-SEP-2047,0.0579,0.7526,0.0375,2047-09-12 00:00:00,1 B USD,"1,000.00 USD",AA+,—,"Apple, Inc."
US37833DW7Apple Inc. 2.65% 11-MAY-2050,0.0579,0.5965,0.0265,2050-05-11 00:00:00,2.5 B USD,"1,000.00 USD",AA+,—,"Apple, Inc."
US37833DZ0Apple Inc. 2.4% 20-AUG-2050,0.0579,0.5622,0.024,2050-08-20 00:00:00,1.25 B USD,"1,000.00 USD",AA+,—,"Apple, Inc."
US37833EA4Apple Inc. 2.55% 20-AUG-2060,0.0579,0.5202,0.0255,2060-08-20 00:00:00,1.75 B USD,"1,000.00 USD",AA+,—,"Apple, Inc."
US37833EQ9Apple Inc. 3.95% 08-AUG-2052,0.0578,0.7543,0.0395,2052-08-08 00:00:00,1.75 B USD,"1,000.00 USD",AA+,—,"Apple, Inc."
APCTApple Inc. 4.25% 09-FEB-2047,0.0577,0.8174,0.0425,2047-02-09 00:00:00,1 B USD,"1,000.00 USD",AA+,—,"Apple, Inc."
US37833EF3Apple Inc. 2.65% 08-FEB-2051,0.0577,0.5922,0.0265,2051-02-08 00:00:00,3 B USD,"1,000.00 USD",AA+,—,"Apple, Inc."
APCLApple Inc. 3.6% 31-JUL-2042,0.0577,0.7743,0.036,2042-07-31 00:00:00,500 M GBP,"1,000.00 GBP",AA+,—,"Apple, Inc."
APC3Apple Inc. 3.75% 13-NOV-2047,0.0577,0.7536,0.0375,2047-11-13 00:00:00,1.25 B USD,"1,000.00 USD",AA+,—,"Apple, Inc."
US37833CD0Apple Inc. 3.85% 04-AUG-2046,0.0575,0.7746,0.0385,2046-08-04 00:00:00,2 B USD,"1,000.00 USD",AA+,—,"Apple, Inc."
US37833BH2Apple Inc. 4.375% 13-MAY-2045,0.0571,0.8468,0.04375,2045-05-13 00:00:00,2 B USD,"1,000.00 USD",AA+,—,"Apple, Inc."
US37833BA7Apple Inc. 3.45% 09-FEB-2045,0.057,0.7442,0.0345,2045-02-09 00:00:00,2 B USD,"1,000.00 USD",AA+,—,"Apple, Inc."
