Symbol,YTW %,Price %,Coupon %,Maturity date,Outstanding amt,Face value,S&P rating,Fitch rating,Issuer
"HD5834013Home Depot, Inc. 5.4% 25-JUN-2064D",0.0586,0.9295,0.054,2064-06-25 00:00:00,500 M USD,"1,000.00 USD",A,A,"The Home Depot, Inc."
"US437076CK6Home Depot, Inc. 2.75% 15-SEP-2051",0.0584,0.5942,0.0275,2051-09-15 00:00:00,1 B USD,"1,000.00 USD",A,A,"The Home Depot, Inc."
"US437076BX9Home Depot, Inc. 4.5% 06-DEC-2048",0.0584,0.8331,0.045,2048-12-06 00:00:00,1.5 B USD,"1,000.00 USD",A,A,"The Home Depot, Inc."
"US437076BS0Home Depot, Inc. 3.9% 15-JUN-2047",0.0584,0.7669,0.039,2047-06-15 00:00:00,1.15 B USD,"1,000.00 USD",A,A,"The Home Depot, Inc."
"US437076BZ43Home Depot, Inc. 3.125% 15-DEC-2049D",0.0582,0.6569,0.03125,2049-12-15 00:00:00,1.25 B USD,"1,000.00 USD",A,A,"The Home Depot, Inc."
"HD5834278Home Depot, Inc. 5.3% 25-JUN-2054D",0.0582,0.9278,0.053,2054-06-25 00:00:00,1.5 B USD,"1,000.00 USD",A,A,"The Home Depot, Inc."
"HD4971789Home Depot, Inc. 3.35% 15-APR-2050D",0.0582,0.6835,0.0335,2050-04-15 00:00:00,1.5 B USD,"1,000.00 USD",A,A,"The Home Depot, Inc."
"HD5386726Home Depot, Inc. 3.625% 15-APR-2052D",0.0582,0.7085,0.03625,2052-04-15 00:00:00,1.5 B USD,"1,000.00 USD",A,A,"The Home Depot, Inc."
"HD5475098Home Depot, Inc. 4.95% 15-SEP-2052D",0.0581,0.8846,0.0495,2052-09-15 00:00:00,1 B USD,"1,000.00 USD",A,A,"The Home Depot, Inc."
"HD5106413Home Depot, Inc. 2.375% 15-MAR-2051D",0.0579,0.554,0.02375,2051-03-15 00:00:00,1.25 B USD,"1,000.00 USD",A,A,"The Home Depot, Inc."
"HD4253641Home Depot, Inc. 4.25% 01-APR-2046D",0.0579,0.8208,0.0425,2046-04-01 00:00:00,1.6 B USD,"1,000.00 USD",A,A,"The Home Depot, Inc."
"US437076BP60Home Depot, Inc. 3.5% 15-SEP-2056D",0.0576,0.6777,0.035,2056-09-15 00:00:00,1 B USD,"1,000.00 USD",A,A,"The Home Depot, Inc."
"HD4134022Home Depot, Inc. 4.4% 15-MAR-2045D",0.0575,0.8459,0.044,2045-03-15 00:00:00,1 B USD,"1,000.00 USD",A,A,"The Home Depot, Inc."
"US437076BD3Home Depot, Inc. 4.875% 15-FEB-2044",0.0575,0.904,0.04875,2044-02-15 00:00:00,1 B USD,"1,000.00 USD",A,A,"The Home Depot, Inc."
"US437076BA91Home Depot, Inc. 4.2% 01-APR-2043D",0.0567,0.8418,0.042,2043-04-01 00:00:00,1 B USD,"1,000.00 USD",A,A,"The Home Depot, Inc."
"HD.GOHome Depot, Inc. 5.95% 01-APR-2041D",0.0548,1.045,0.0595,2041-04-01 00:00:00,1 B USD,"1,000.00 USD",A,A,"The Home Depot, Inc."
"HD4971788Home Depot, Inc. 3.3% 15-APR-2040D",0.0546,0.7925,0.033,2040-04-15 00:00:00,1.25 B USD,"1,000.00 USD",A,A,"The Home Depot, Inc."
"HD.GMHome Depot, Inc. 5.4% 15-SEP-2040D",0.0546,0.9938,0.054,2040-09-15 00:00:00,500 M USD,"1,000.00 USD",A,A,"The Home Depot, Inc."
"US437076AS19Home Depot, Inc. 5.875% 16-DEC-2036D",0.0519,1.054,0.05875,2036-12-16 00:00:00,3 B USD,"1,000.00 USD",A,A,"The Home Depot, Inc."
"HD6170008Home Depot, Inc. 4.65% 15-SEP-2035D",0.0511,0.9665,0.0465,2035-09-15 00:00:00,1 B USD,"1,000.00 USD",A,A,"The Home Depot, Inc."
"HD5834012Home Depot, Inc. 4.95% 25-JUN-2034D",0.05,0.9961,0.0495,2034-06-25 00:00:00,1.75 B USD,"1,000.00 USD",A,A,"The Home Depot, Inc."
