Symbol,YTW %,Price %,Coupon %,Maturity date,Outstanding amt,Face value,S&P rating,Fitch rating,Issuer
KO5141473Coca-Cola Company 3.0% 05-MAR-2051D,0.0566,0.6487,0.03,2051-03-05 00:00:00,1.7 B USD,"1,000.00 USD",A+,—,The Coca-Cola Co.
KO4982890Coca-Cola Company 2.6% 01-JUN-2050D,0.0565,0.6019,0.026,2050-06-01 00:00:00,1.5 B USD,"1,000.00 USD",A+,—,The Coca-Cola Co.
KO5868479Coca-Cola Company 5.2% 14-JAN-2055D,0.0565,0.9356,0.052,2055-01-14 00:00:00,1.5 B USD,"1,000.00 USD",A+,—,The Coca-Cola Co.
KO4969567Coca-Cola Company 4.2% 25-MAR-2050D,0.0564,0.8119,0.042,2050-03-25 00:00:00,540.88 M USD,"1,000.00 USD",A+,—,The Coca-Cola Co.
CCCCCoca-Cola Company 2.5% 15-MAR-2051D,0.0564,0.5824,0.025,2051-03-15 00:00:00,1.5 B USD,"1,000.00 USD",A+,—,The Coca-Cola Co.
KO5807226Coca-Cola Company 5.3% 13-MAY-2054D,0.0564,0.9491,0.053,2054-05-13 00:00:00,1.1 B USD,"1,000.00 USD",A+,—,The Coca-Cola Co.
KO5807227Coca-Cola Company 5.4% 13-MAY-2064D,0.0561,0.9452,0.054,2064-05-13 00:00:00,1.65 B USD,"1,000.00 USD",A+,—,The Coca-Cola Co.
KO4982891Coca-Cola Company 2.75% 01-JUN-2060D,0.056,0.5689,0.0275,2060-06-01 00:00:00,1 B USD,"1,000.00 USD",A+,—,The Coca-Cola Co.
KO.GCCoca-Cola Company 7.375% 29-JUL-2093D,0.0552,1.3272,0.07375,2093-07-29 00:00:00,95.83 M USD,"1,000.00 USD",A+,—,The Coca-Cola Co.
"KKO3669975Coca-Cola Enterprises, Inc. /Old/ 6.95% 15-NOV-2026D",0.0537,1.0052,0.0695,2026-11-15 00:00:00,151.72 M USD,"1,000.00 USD",A+,—,"Coca-Cola Enterprises, Inc. /Old/"
KO4982889Coca-Cola Company 2.5% 01-JUN-2040D,0.0533,0.7251,0.025,2040-06-01 00:00:00,1 B USD,"1,000.00 USD",A+,—,The Coca-Cola Co.
