Symbol,YTW %,Price %,Coupon %,Maturity date,Outstanding amt,Face value,S&P rating,Fitch rating,Issuer
US931142CH46 WALMART INC 5.875% 05Apr2027,0.04025,1.012341,0.05875,2027-04-05,4792500000.0,"1,000.00 USD",,—,Walmart Inc.
US931142EE96 WALMART INC 3.7% 26Jun2028,0.043083,0.989,0.037,2028-06-26,4792500000.0,"1,000.00 USD",,—,Walmart Inc.
US931142BF98 WALMART INC 7.55% 15Feb2030,0.0442,1.09986,0.0755,2030-02-15,4792500000.0,"1,000.00 USD",,—,Walmart Inc.
US931142CB75 WALMART INC 5.25% 01Sep2035,0.0501,1.01205,0.0525,2035-09-01,4792500000.0,"1,000.00 USD",,—,Walmart Inc.
US931142CK74 WALMART INC 6.5% 15Aug2037,0.0508,1.099422,0.065,2037-08-15,4792500000.0,"1,000.00 USD",,—,Walmart Inc.
US931142CM31 WALMART INC 6.2% 15Apr2038,0.0517,1.072873,0.062,2038-04-15,4792500000.0,"1,000.00 USD",,—,Walmart Inc.
US931142EB57 WALMART INC 3.95% 28Jun2038,0.0505,0.895898,0.0395,2038-06-28,4792500000.0,"1,000.00 USD",,—,Walmart Inc.
US931142CS01 WALMART INC 5.625% 01Apr2040,0.0531,1.04347,0.05625,2040-04-01,4792500000.0,"1,000.00 USD",,—,Walmart Inc.
US931142CV30 WALMART INC 4.875% 08Jul2040,0.0529,0.96152,0.04875,2040-07-08,4792500000.0,"1,000.00 USD",,—,Walmart Inc.
US931142CY78 WALMART INC 5% 25Oct2040,0.0516,0.972716,0.05,2040-10-25,4792500000.0,"1,000.00 USD",,—,Walmart Inc.
US931142DB66 WALMART INC 5.625% 15Apr2041,0.05325,1.02725,0.05625,2041-04-15,4792500000.0,"1,000.00 USD",,—,Walmart Inc.
US931142DG53 WALMART INC 4% 11Apr2043,0.05605,0.81917,0.04,2043-04-11,4792500000.0,"1,000.00 USD",,—,Walmart Inc.
US931142DW04 WALMART INC 3.625% 15Dec2047,0.0554,0.74942,0.03625,2047-12-15,4792500000.0,"1,000.00 USD",,—,Walmart Inc.
US931142EC31 WALMART INC 4.05% 29Jun2048,0.0566,0.78612,0.0405,2048-06-29,4792500000.0,"1,000.00 USD",,—,Walmart Inc.
