tenor,fwd_real_yield,fwd_erp,fwd_coe,spot_real_yield,spot_erp,spot_coe
1,1.07,4.001,5.071,1.07,4.001,5.071
2,1.4784,4.3499,5.8284,1.274,4.175,5.449
3,1.8842,4.5186,6.4029,1.477,4.289,5.766
4,2.2955,4.6313,6.9267,1.681,4.374,6.055
5,2.7051,4.727,7.4321,1.885,4.444,6.329
6,2.2696,4.6729,6.9425,1.949,4.482,6.431
7,2.3978,4.6437,7.0415,2.013,4.505,6.518
8,2.5261,4.521,7.0471,2.077,4.507,6.584
9,2.6454,4.4346,7.08,2.14,4.499,6.639
10,2.7818,4.308,7.0899,2.204,4.48,6.684
11,2.7996,4.2149,7.0145,2.258,4.456,6.714
12,2.9079,4.0584,6.9663,2.312,4.423,6.735
13,3.0162,3.9009,6.9171,2.366,4.383,6.749
14,3.1246,3.7365,6.8611,2.42,4.337,6.757
15,3.2481,3.5239,6.772,2.475,4.283,6.758
16,3.3424,3.3356,6.678,2.529,4.224,6.753
17,3.4509,3.1322,6.5831,2.583,4.16,6.743
18,3.5594,2.9499,6.5092,2.637,4.093,6.73
19,3.6679,2.7396,6.4075,2.691,4.022,6.713
20,3.7764,2.5373,6.3137,2.745,3.948,6.693
21,2.724,2.2188,4.9428,2.744,3.865,6.609
22,2.7,2.1411,4.8411,2.742,3.786,6.528
23,2.719,2.0294,4.7484,2.741,3.709,6.45
24,2.693,1.9715,4.6645,2.739,3.636,6.375
25,2.714,1.9001,4.6141,2.738,3.566,6.304
26,2.686,1.8896,4.5757,2.736,3.501,6.237
27,2.709,1.8135,4.5225,2.735,3.438,6.173
28,2.679,1.7716,4.4506,2.733,3.378,6.111
29,2.704,1.7378,4.4418,2.732,3.321,6.053
30,2.672,1.7138,4.3858,2.73,3.267,5.997
