tenor,fwd_real_yield,fwd_erp,fwd_coe,spot_real_yield,spot_erp,spot_coe
1,1.07,3.9734,5.0434,1.07,3.9734,5.0434
2,1.5874,4.3069,5.8942,1.3284,4.1396,5.468
3,2.0277,4.4649,6.4925,1.5609,4.2475,5.8084
4,2.3265,4.2655,6.592,1.7518,4.252,6.0037
5,2.4196,4.1566,6.5762,1.885,4.233,6.118
6,2.409,3.9469,6.3558,1.9721,4.1855,6.1576
7,2.45,3.7469,6.1969,2.0403,4.1229,6.1632
8,2.4928,3.4705,5.9633,2.0967,4.0415,6.1382
9,2.5669,3.2351,5.802,2.1489,3.9519,6.1008
10,2.7016,3.0054,5.707,2.204,3.8573,6.0613
11,2.8993,2.999,5.8982,2.267,3.7795,6.0465
12,3.0967,2.8234,5.9202,2.3359,3.7001,6.036
13,3.2735,2.6541,5.9275,2.4077,3.6199,6.0276
14,3.4176,2.4907,5.9083,2.4795,3.5396,6.0191
15,3.517,2.3336,5.8506,2.5484,3.4595,6.0079
16,3.5599,2.1698,5.7297,2.6113,3.3792,5.9905
17,3.5345,2.0356,5.57,2.6654,3.3003,5.9657
18,3.429,1.9148,5.3437,2.7076,3.2234,5.931
19,3.2319,1.8122,5.0441,2.7352,3.149,5.8842
20,2.9319,1.7345,4.6665,2.745,3.0779,5.8229
21,2.7447,2.1152,4.8599,2.745,3.0319,5.7769
22,2.7427,2.1214,4.8641,2.7449,2.9903,5.7352
23,2.7383,2.1348,4.8731,2.7446,2.953,5.6976
24,2.7313,2.155,4.8863,2.744,2.9196,5.6637
25,2.7212,2.1818,4.903,2.7431,2.89,5.6331
26,2.7076,2.2191,4.9267,2.7418,2.8641,5.6059
27,2.6903,2.257,4.9474,2.7399,2.8416,5.5814
28,2.6689,2.2997,4.9686,2.7373,2.8221,5.5595
29,2.643,2.3468,4.9898,2.7341,2.8057,5.5398
30,2.6122,2.3982,5.0104,2.73,2.7921,5.5221
