tenor,fwd_real_yield,fwd_erp,fwd_coe,spot_real_yield,spot_erp,spot_coe
1,2.2295,3.984,6.2135,2.2295,3.984,6.2135
2,2.4168,4.4037,6.8205,2.3231,4.1935,6.5166
3,2.561,4.6059,7.1669,2.4023,4.3306,6.7329
4,2.6543,4.5541,7.2083,2.4653,4.3863,6.8516
5,2.6891,4.5235,7.2126,2.51,4.4137,6.9237
6,2.6763,4.3793,7.0556,2.5377,4.408,6.9457
7,2.6939,4.2461,6.94,2.56,4.3849,6.9449
8,2.7487,4.0199,6.7686,2.5836,4.3392,6.9228
9,2.7907,3.8378,6.6285,2.6066,4.2835,6.8901
10,2.8411,3.651,6.4922,2.63,4.2202,6.8502
11,2.9018,3.6031,6.5048,2.6547,4.1641,6.8188
12,2.9646,3.4452,6.4097,2.6805,4.1042,6.7846
13,3.0256,3.2937,6.3193,2.707,4.0418,6.7488
14,3.0834,3.1522,6.2356,2.7338,3.9782,6.712
15,3.1363,3.024,6.1603,2.7606,3.9145,6.6751
16,3.1828,2.8909,6.0736,2.7869,3.8505,6.6374
17,3.2213,2.8081,6.0294,2.8124,3.7892,6.6016
18,3.2502,2.7488,5.999,2.8367,3.7313,6.568
19,3.268,2.7154,5.9833,2.8594,3.6778,6.5372
20,3.2731,2.7101,5.9832,2.88,3.6294,6.5094
21,3.285,2.9781,6.2631,2.8992,3.5984,6.4977
22,3.3111,3.0093,6.3204,2.9179,3.5717,6.4896
23,3.3342,3.0466,6.3808,2.936,3.5489,6.4849
24,3.3539,3.0898,6.4438,2.9534,3.5298,6.4831
25,3.3701,3.1389,6.509,2.97,3.5142,6.4842
26,3.3826,3.1964,6.579,2.9859,3.502,6.4878
27,3.391,3.2563,6.6473,3.0008,3.4929,6.4937
28,3.3951,3.3209,6.716,3.0149,3.4868,6.5017
29,3.3948,3.3901,6.7849,3.028,3.4834,6.5114
30,3.3897,3.4638,6.8536,3.04,3.4828,6.5228
