tenor,fwd_real_yield,fwd_erp,fwd_coe,spot_real_yield,spot_erp,spot_coe
1,2.1895,3.9543,6.1438,2.1895,3.9543,6.1438
2,2.3172,4.3448,6.662,2.2533,4.1493,6.4026
3,2.432,4.5294,6.9614,2.3128,4.2757,6.5885
4,2.5349,4.3259,6.8608,2.3683,4.2882,6.6565
5,2.627,4.22,6.847,2.42,4.2746,6.6946
6,2.7041,4.0128,6.7169,2.4673,4.231,6.6983
7,2.7666,3.8169,6.5836,2.51,4.1719,6.6819
8,2.8254,3.533,6.3584,2.5494,4.0921,6.6414
9,2.8801,3.2918,6.1719,2.5861,4.0031,6.5892
10,2.9259,3.0453,5.9713,2.62,3.9072,6.5272
11,2.9757,3.0113,5.987,2.6523,3.8257,6.478
12,3.0334,2.8058,5.8392,2.684,3.7406,6.4246
13,3.0875,2.6056,5.6931,2.715,3.6532,6.3682
14,3.1375,2.4141,5.5516,2.7451,3.5645,6.3096
15,3.1828,2.2345,5.4173,2.7742,3.4757,6.2499
16,3.2229,2.047,5.2699,2.8022,3.3862,6.1884
17,3.2572,1.9087,5.1659,2.8289,3.299,6.128
18,3.2852,1.7922,5.0774,2.8542,3.2151,6.0693
19,3.3062,1.6999,5.0061,2.878,3.1351,6.0131
20,3.3198,1.6339,4.9538,2.9,3.0599,5.9599
21,3.339,2.0619,5.4009,2.9209,3.0123,5.9332
22,3.3666,2.0517,5.4183,2.9411,2.9687,5.9097
23,3.3904,2.047,5.4374,2.9606,2.9286,5.8892
24,3.4101,2.0478,5.4579,2.9793,2.8919,5.8712
25,3.4253,2.054,5.4793,2.9971,2.8584,5.8555
26,3.4358,2.0674,5.5032,3.0139,2.828,5.8419
27,3.4412,2.0844,5.5255,3.0297,2.8004,5.8301
28,3.4412,2.1059,5.5471,3.0444,2.7757,5.82
29,3.4354,2.1322,5.5676,3.0578,2.7535,5.8113
30,3.4236,2.1633,5.5869,3.07,2.7338,5.8038
