tenor,fwd_real_yield,fwd_erp,fwd_coe,spot_real_yield,spot_erp,spot_coe
1,2.2495,4.0119,6.2614,2.2495,4.0119,6.2614
2,2.4137,4.4527,6.8664,2.3316,4.2319,6.5635
3,2.5416,4.6655,7.2071,2.4016,4.376,6.7776
4,2.628,4.7617,7.3897,2.4581,4.4722,6.9303
5,2.6677,4.8038,7.4715,2.5,4.5383,7.0383
6,2.665,4.7269,7.3919,2.5275,4.5697,7.0972
7,2.6852,4.6603,7.3455,2.55,4.5826,7.1326
8,2.7394,4.4972,7.2366,2.5737,4.5719,7.1456
9,2.7816,4.3793,7.1609,2.5967,4.5506,7.1473
10,2.8296,4.2561,7.0857,2.62,4.5211,7.1411
11,2.8855,4.1952,7.0807,2.6441,4.4915,7.1356
12,2.9435,4.0875,7.031,2.669,4.4579,7.1269
13,2.9999,3.9869,6.9868,2.6944,4.4217,7.1161
14,3.0534,3.8974,6.9507,2.72,4.3843,7.1043
15,3.1027,3.8226,6.9253,2.7455,4.3469,7.0924
16,3.1467,3.747,6.8937,2.7705,4.3094,7.0799
17,3.184,3.7224,6.9064,2.7948,4.2749,7.0697
18,3.2134,3.7234,6.9368,2.818,4.2443,7.0623
19,3.2337,3.7523,6.986,2.8399,4.2185,7.0583
20,3.2436,3.8115,7.055,2.86,4.1981,7.0581
21,3.2587,3.9132,7.1719,2.879,4.1846,7.0636
22,3.285,3.9862,7.2713,2.8974,4.1756,7.073
23,3.3087,4.0658,7.3744,2.9152,4.1709,7.0861
24,3.3294,4.1515,7.4809,2.9324,4.1701,7.1025
25,3.347,4.2432,7.5903,2.949,4.173,7.122
26,3.3614,4.3445,7.7059,2.9648,4.1795,7.1444
27,3.3723,4.4469,7.8192,2.9799,4.1894,7.1693
28,3.3796,4.5538,7.9334,2.9941,4.2023,7.1965
29,3.383,4.6652,8.0482,3.0075,4.2182,7.2257
30,3.3823,4.7809,8.1632,3.02,4.2369,7.2569
