tenor,real_tips_yield,real_exante_yield,erp,coe
1,1.07,1.021,4.001,5.071
2,1.274,1.18,4.176,5.449
3,1.477,1.338,4.288,5.766
4,1.681,1.496,4.373,6.055
5,1.885,1.654,4.444,6.329
6,1.949,1.728,4.482,6.431
7,2.013,1.803,4.506,6.518
8,2.077,1.877,4.508,6.584
9,2.14,1.951,4.499,6.639
10,2.204,2.026,4.48,6.684
11,2.258,2.074,4.456,6.714
12,2.312,2.122,4.423,6.735
13,2.366,2.17,4.383,6.749
14,2.42,2.218,4.337,6.757
15,2.475,2.267,4.284,6.758
16,2.529,2.315,4.224,6.753
17,2.583,2.363,4.16,6.743
18,2.637,2.411,4.093,6.73
19,2.691,2.459,4.022,6.713
20,2.745,2.508,3.948,6.693
21,2.744,2.513,3.865,6.609
22,2.742,2.518,3.786,6.528
23,2.741,2.523,3.71,6.45
24,2.739,2.528,3.636,6.375
25,2.738,2.533,3.566,6.304
26,2.736,2.538,3.501,6.237
27,2.735,2.543,3.438,6.173
28,2.733,2.548,3.378,6.111
29,2.732,2.553,3.321,6.053
30,2.73,2.558,3.267,5.997
# TODAY (2026-06) term structure. real_tips_yield = COE risk-free by tenor; erp = required ERP by tenor;
# coe = real_tips_yield + erp. Duration-collapse at equity duration (24.3y) = v4 effective: real 2.34, ERP 3.90, COE 6.24.
