cusip,description,ytw,price_frac,coupon,maturity,years,outstanding,face,sp_rating,issuer
,APCLApple Inc. 3.6% 31-JUL-2042,0.0587,0.7656999999999999,0.036000000000000004,2042-07-31,16.05201916495551,500000000.0,1000.0,AA+,"Apple, Inc."
US37833ER7,Apple Inc. 4.1% 08-AUG-2062,0.0581,0.7431,0.040999999999999995,2062-08-08,36.07392197125257,1250000000.0,1000.0,AA+,"Apple, Inc."
US37833EL0,Apple Inc. 2.85% 05-AUG-2061,0.057999999999999996,0.5593,0.0285,2061-08-05,35.06639288158795,1400000000.0,1000.0,AA+,"Apple, Inc."
US37833EG1,Apple Inc. 2.8% 08-FEB-2061,0.0579,0.5548,0.027999999999999997,2061-02-08,34.57905544147844,1750000000.0,1000.0,AA+,"Apple, Inc."
US37833DQ0,Apple Inc. 2.95% 11-SEP-2049,0.0579,0.6396999999999999,0.029500000000000002,2049-09-11,23.16769336071184,1500000000.0,1000.0,AA+,"Apple, Inc."
US37833DW7,Apple Inc. 2.65% 11-MAY-2050,0.0579,0.5966,0.0265,2050-05-11,23.83025325119781,2500000000.0,1000.0,AA+,"Apple, Inc."
US37833EK2,Apple Inc. 2.7% 05-AUG-2051,0.0579,0.5936,0.027000000000000003,2051-08-05,25.065023956194388,1800000000.0,1000.0,AA+,"Apple, Inc."
US37833EQ9,Apple Inc. 3.95% 08-AUG-2052,0.0579,0.7537,0.0395,2052-08-08,26.075290896646134,1750000000.0,1000.0,AA+,"Apple, Inc."
US37833DZ0,Apple Inc. 2.4% 20-AUG-2050,0.0579,0.5622,0.024,2050-08-20,24.10677618069815,1250000000.0,1000.0,AA+,"Apple, Inc."
US37833EF3,Apple Inc. 2.65% 08-FEB-2051,0.057800000000000004,0.5916,0.0265,2051-02-08,24.577686516084874,3000000000.0,1000.0,AA+,"Apple, Inc."
US37833DD9,Apple Inc. 3.75% 12-SEP-2047,0.057699999999999994,0.7544,0.0375,2047-09-12,21.169062286105408,1000000000.0,1000.0,AA+,"Apple, Inc."
,APC3Apple Inc. 3.75% 13-NOV-2047,0.057699999999999994,0.7531,0.0375,2047-11-13,21.338809034907598,1250000000.0,1000.0,AA+,"Apple, Inc."
US37833EA4,Apple Inc. 2.55% 20-AUG-2060,0.0576,0.5226,0.0255,2060-08-20,34.10814510609172,1750000000.0,1000.0,AA+,"Apple, Inc."
,APCTApple Inc. 4.25% 09-FEB-2047,0.0576,0.8192,0.0425,2047-02-09,20.580424366872005,1000000000.0,1000.0,AA+,"Apple, Inc."
US37833CD0,Apple Inc. 3.85% 04-AUG-2046,0.057300000000000004,0.7768999999999999,0.0385,2046-08-04,20.06297056810404,2000000000.0,1000.0,AA+,"Apple, Inc."
US37833BH2,Apple Inc. 4.375% 13-MAY-2045,0.0572,0.8461,0.0438,2045-05-13,18.836413415468858,2000000000.0,1000.0,AA+,"Apple, Inc."
US37833BA7,Apple Inc. 3.45% 09-FEB-2045,0.0567,0.7465,0.0345,2045-02-09,18.581793292265573,2000000000.0,1000.0,AA+,"Apple, Inc."
US37833BX7,Apple Inc. 4.65% 23-FEB-2046,0.056600000000000004,0.8809999999999999,0.04650000000000001,2046-02-23,19.619438740588638,4000000000.0,1000.0,AA+,"Apple, Inc."
AAPL558475,8Apple Inc. 4.85% 10-MAY-2053D,0.056299999999999996,0.8953,0.048499999999999995,2053-05-10,26.82819986310746,1250000000.0,1000.0,AA+,"Apple, Inc."
