cusip,description,ytw,price_frac,coupon,maturity,years,outstanding,face,sp_rating,issuer
,HSYBHershey Company 3.375% 15-AUG-2046,0.0579,0.7153,0.03375,2046-08-15,20.093086926762492,300000000.0,1000.0,A,The Hershey Co.
HSY4904965,Hershey Company 3.125% 15-NOV-2049D,0.0574,0.6651,0.03125,2049-11-15,23.345653661875428,400000000.0,1000.0,A,The Hershey Co.
HSY4995171,Hershey Company 2.65% 01-JUN-2050D,0.0573,0.6032,0.0265,2050-06-01,23.887748117727583,350000000.0,1000.0,A,The Hershey Co.
US427866AX,6Hershey Company 2.3% 15-AUG-2026,0.0552,0.997,0.023,2026-08-15,0.09308692676249145,500000000.0,1000.0,A,The Hershey Co.
HSY5581293,Hershey Company 4.5% 04-MAY-2033D,0.048,0.9825,0.045,2033-05-04,6.811772758384668,400000000.0,1000.0,A,The Hershey Co.
HSY6010276,Hershey Company 4.95% 24-FEB-2032D,0.0475,1.0095,0.0495,2032-02-24,5.620807665982204,500000000.0,1000.0,A,The Hershey Co.
HSY6010278,Hershey Company 5.1% 24-FEB-2035D,0.0468,1.0287,0.051,2035-02-24,8.621492128678987,500000000.0,1000.0,A,The Hershey Co.
HSY4995133,Hershey Company 1.7% 01-JUN-2030D,0.0466,0.8957,0.017,2030-06-01,3.887748117727584,350000000.0,1000.0,A,The Hershey Co.
HSY4904876,Hershey Company 2.45% 15-NOV-2029D,0.0458,0.9344,0.0245,2029-11-15,3.345653661875428,300000000.0,1000.0,A,The Hershey Co.
HSY6010275,Hershey Company 4.75% 24-FEB-2030D,0.0454,1.0065,0.0475,2030-02-24,3.62217659137577,500000000.0,1000.0,A,The Hershey Co.
HSY5581214,Hershey Company 4.25% 04-MAY-2028D,0.0445,0.9965,0.0425,2028-05-04,1.8124572210814511,350000000.0,1000.0,A,The Hershey Co.
HSY6010274,Hershey Company 4.55% 24-FEB-2028D,0.044,1.0021,0.0455,2028-02-24,1.620807665982204,500000000.0,1000.0,A,The Hershey Co.
,HSY.GEHershey Foods Corp. 7.2% 15-AUG-2027D,0.0436,1.0302,0.072,2027-08-15,1.0924024640657084,193640000.0,1000.0,A,Hershey Foods Corp.
