cusip,description,ytw,price_frac,coupon,maturity,years,outstanding,face,sp_rating,issuer
KO5141473C,oca-Cola Company 3.0% 05-MAR-2051D,0.0566,0.6487,0.03,2051-03-05,24.646132785763175,1700000000.0,1000.0,A+,The Coca-Cola Co.
KO4982890C,oca-Cola Company 2.6% 01-JUN-2050D,0.0565,0.6019,0.026,2050-06-01,23.887748117727583,1500000000.0,1000.0,A+,The Coca-Cola Co.
KO5868479C,oca-Cola Company 5.2% 14-JAN-2055D,0.0565,0.9356,0.052,2055-01-14,28.50924024640657,1500000000.0,1000.0,A+,The Coca-Cola Co.
KO4969567C,oca-Cola Company 4.2% 25-MAR-2050D,0.0564,0.8119,0.042,2050-03-25,23.701574264202602,540880000.0,1000.0,A+,The Coca-Cola Co.
,CCCCCoca-Cola Company 2.5% 15-MAR-2051D,0.0564,0.5824,0.025,2051-03-15,24.673511293634498,1500000000.0,1000.0,A+,The Coca-Cola Co.
KO5807226C,oca-Cola Company 5.3% 13-MAY-2054D,0.0564,0.9491,0.053,2054-05-13,27.835728952772072,1100000000.0,1000.0,A+,The Coca-Cola Co.
KO5807227C,oca-Cola Company 5.4% 13-MAY-2064D,0.0561,0.9452,0.054,2064-05-13,37.83709787816564,1650000000.0,1000.0,A+,The Coca-Cola Co.
KO4982891C,oca-Cola Company 2.75% 01-JUN-2060D,0.056,0.5689,0.0275,2060-06-01,33.889117043121146,1000000000.0,1000.0,A+,The Coca-Cola Co.
,KO.GCCoca-Cola Company 7.375% 29-JUL-2093D,0.0552,1.3272,0.07375,2093-07-29,67.04722792607802,95830000.0,1000.0,A+,The Coca-Cola Co.
KKO3669975,"Coca-Cola Enterprises, Inc. /Old/ 6.95% 15-NOV-2026D",0.0537,1.0052,0.0695,2026-11-15,0.34496919917864477,151720000.0,1000.0,A+,"Coca-Cola Enterprises, Inc. /Old/"
KO4982889C,oca-Cola Company 2.5% 01-JUN-2040D,0.0533,0.7251,0.025,2040-06-01,13.88911704312115,1000000000.0,1000.0,A+,The Coca-Cola Co.
,CCCBCoca-Cola Company 2.875% 05-MAY-2041D,0.0529,0.7514,0.02875,2041-05-05,14.8145106091718,750000000.0,1000.0,A+,The Coca-Cola Co.
KKO3669978,"Coca-Cola Enterprises, Inc. /Old/ 6.75% 15-JAN-2038D",0.0521,1.1324,0.0675,2038-01-15,11.512662559890487,88810000.0,1000.0,A+,"Coca-Cola Enterprises, Inc. /Old/"
KO4969566C,oca-Cola Company 4.125% 25-MAR-2040D,0.0519,0.8964,0.04125,2040-03-25,13.702943189596168,218350000.0,1000.0,A+,The Coca-Cola Co.
KKO3669974,"Coca-Cola Enterprises, Inc. /Old/ 6.7% 15-OCT-2036D",0.0497,1.1376,0.067,2036-10-15,10.261464750171116,120250000.0,1000.0,A+,"Coca-Cola Enterprises, Inc. /Old/"
KO5807225C,oca-Cola Company 5.0% 13-MAY-2034D,0.0472,1.0172,0.05,2034-05-13,7.835728952772074,1000000000.0,1000.0,A+,The Coca-Cola Co.
KO5868478C,oca-Cola Company 4.65% 14-AUG-2034D,0.0472,0.9952,0.0465,2034-08-14,8.09034907597536,750000000.0,1000.0,A+,The Coca-Cola Co.
KO5141472C,oca-Cola Company 2.0% 05-MAR-2031D,0.0453,0.8951,0.02,2031-03-05,4.646132785763176,750000000.0,1000.0,A+,The Coca-Cola Co.
KO4982991C,oca-Cola Company 1.65% 01-JUN-2030D,0.0452,0.8986,0.0165,2030-06-01,3.887748117727584,1500000000.0,1000.0,A+,The Coca-Cola Co.
US191216DP,2Coca-Cola Company 2.25% 05-JAN-2032,0.0452,0.8908,0.0225,2032-01-05,5.4839151266255985,2000000000.0,1000.0,A+,The Coca-Cola Co.
US191216DE,7Coca-Cola Company 1.375% 15-MAR-2031,0.0452,0.8688,0.01375,2031-03-15,4.673511293634497,1300000000.0,1000.0,A+,The Coca-Cola Co.
KO4969570C,oca-Cola Company 3.45% 25-MAR-2030D,0.0441,0.9674,0.0345,2030-03-25,3.701574264202601,1250000000.0,1000.0,A+,The Coca-Cola Co.
KKO3669980,"Coca-Cola Enterprises, Inc. /Old/ 6.75% 15-SEP-2028D",0.044,1.0483,0.0675,2028-09-15,2.1793292265571527,131350000.0,1000.0,A+,"Coca-Cola Enterprises, Inc. /Old/"
XS28741572,9Coca-Cola Company 3.75% 15-AUG-2053D,0.0439,0.8973,0.0375,2053-08-15,27.093771389459274,500000000.0,1000.0,A+,The Coca-Cola Co.
KO4880709C,oca-Cola Company 2.125% 06-SEP-2029D,0.0437,0.9344,0.02125,2029-09-06,3.154004106776181,1000000000.0,1000.0,A+,The Coca-Cola Co.
US191216DD,9Coca-Cola Company 1.0% 15-MAR-2028,0.0429,0.9471,0.01,2028-03-15,1.675564681724846,1300000000.0,1000.0,A+,The Coca-Cola Co.
KO5141475C,oca-Cola Company 1.5% 05-MAR-2028D,0.0425,0.9566,0.015,2028-03-05,1.648186173853525,750000000.0,1000.0,A+,The Coca-Cola Co.
XS28159486,9Coca-Cola Company 3.5% 14-MAY-2044D,0.0425,0.9053,0.035,2044-05-14,17.83983572895277,500000000.0,1000.0,A+,The Coca-Cola Co.
KO4982990C,oca-Cola Company 1.45% 01-JUN-2027D,0.0423,0.9759,0.0145,2027-06-01,0.8870636550308009,1500000000.0,1000.0,A+,The Coca-Cola Co.
,CCCMCoca-Cola Company 2.9% 25-MAY-2027,0.0418,0.9891,0.029,2027-05-25,0.8678986995208761,500000000.0,1000.0,A+,The Coca-Cola Co.
KKO3669973,"Coca-Cola Enterprises, Inc. /Old/ 7.0% 01-OCT-2026D",0.0411,1.0064,0.07,2026-10-01,0.22176591375770022,100310000.0,1000.0,A+,"Coca-Cola Enterprises, Inc. /Old/"
XS23078640,2Coca-Cola Company 1.0% 09-MAR-2041,0.041,0.6629,0.01,2041-03-09,14.65845311430527,650000000.0,1000.0,A+,The Coca-Cola Co.
KO4969568C,oca-Cola Company 3.375% 25-MAR-2027D,0.0409,0.9951,0.03375,2027-03-25,0.7008898015058179,1000000000.0,1000.0,A+,The Coca-Cola Co.
XS22331553,4Coca-Cola Company 0.8% 15-MAR-2040,0.0402,0.6659,0.008,2040-03-15,13.675564681724847,850000000.0,1000.0,A+,The Coca-Cola Co.
XS28741549,4Coca-Cola Company 3.375% 15-AUG-2037D,0.0381,0.9597,0.03375,2037-08-15,11.093771389459274,500000000.0,1000.0,A+,The Coca-Cola Co.
XS14856436,1Coca-Cola Company 1.1% 02-SEP-2036,0.0374,0.78,0.011,2036-09-02,10.143737166324435,500000000.0,1000.0,A+,The Coca-Cola Co.
XS23393993,5Coca-Cola Company 0.95% 06-MAY-2036,0.0367,0.7789,0.0095,2036-05-06,9.817932922655714,500000000.0,1000.0,A+,The Coca-Cola Co.
XS11978331,3Coca-Cola Company 1.625% 09-MAR-2035,0.0361,0.8544,0.01625,2035-03-09,8.657084188911705,1500000000.0,1000.0,A+,The Coca-Cola Co.
