cusip,description,ytw,price_frac,coupon,maturity,years,outstanding,face,sp_rating,issuer
TT3689778D,IRECTV Holdings LLC 6.375% 01-MAR-2041D,0.2005,0.35850000000000004,0.0638,2041-03-01,14.636550308008214,5180000.0,1000.0,NR,DIRECTV Holdings LLC
TT3851436D,IRECTV Holdings LLC 5.15% 15-MAR-2042D,0.1822,0.3286,0.051500000000000004,2042-03-15,15.67419575633128,18290000.0,1000.0,NR,DIRECTV Holdings LLC
,TTWX.AVTime Warner Inc. 6.2% 15-MAR-2040D,0.1116,0.6555,0.062,2040-03-15,13.675564681724847,2029999.9999999998,1000.0,BB,"Time Warner, Inc."
,TTWX.AZTime Warner Inc. 6.1% 15-JUL-2040D,0.1101,0.6525,0.061,2040-07-15,14.009582477754963,6220000.0,1000.0,BB,"Time Warner, Inc."
,TTWX.BCTime Warner Inc. 5.375% 15-OCT-2041D,0.1047,0.615,0.0538,2041-10-15,15.260780287474333,4250000.0,1000.0,BB,"Time Warner, Inc."
TTWX386512,0Time Warner Inc. 4.9% 15-JUN-2042D,0.1026,0.5828,0.049,2042-06-15,15.926078028747433,4410000.0,1000.0,BB,"Time Warner, Inc."
TTWX412776,6Time Warner Inc. 4.65% 01-JUN-2044D,0.1017,0.5485,0.04650000000000001,2044-06-01,17.88911704312115,3990000.0,1000.0,BB,"Time Warner, Inc."
TTWX408047,4Time Warner Inc. 5.35% 15-DEC-2043D,0.1005,0.616,0.0535,2043-12-15,17.426420260095824,8310000.000000001,1000.0,BB,"Time Warner, Inc."
,TTWX.BBTime Warner Inc. 6.25% 29-MAR-2041D,0.09820000000000001,0.7245,0.0625,2041-03-29,14.713210130047912,1040000.0,1000.0,BB,"Time Warner, Inc."
,"TTWX.AAAOL Time Warner, Inc. 7.625% 15-APR-2031D",0.0861,0.9615,0.07629999999999999,2031-04-15,4.758384668035592,20960000.0,1000.0,BB,"AOL Time Warner, Inc."
,"TTWX.ARAOL Time Warner, Inc. 7.7% 01-MAY-2032D",0.0808,0.9823999999999999,0.077,2032-05-01,5.804243668720055,11040000.0,1000.0,BB,"AOL Time Warner, Inc."
,TTWX.AUTime Warner Inc. 6.5% 15-NOV-2036D,0.0805,0.8913,0.065,2036-11-15,10.346338124572211,5750000.0,1000.0,BB,"Time Warner, Inc."
,TTWX.AKTime Warner Inc. 6.625% 15-MAY-2029D,0.0722,0.9845999999999999,0.0663,2029-05-15,2.841889117043121,24320000.0,1000.0,BB,"Time Warner, Inc."
TTWX443205,5Time Warner Inc. 3.8% 15-FEB-2027D,0.07150000000000001,0.9804,0.038,2027-02-15,0.5968514715947981,33400000.0,1000.0,BB,"Time Warner, Inc."
TT3668077B,ellSouth Capital Funding Corp. 7.12% 15-JUL-2097D,0.0705,1.0084,0.0712,2097-07-15,71.00889801505818,45050000.0,1000.0,BBB,BellSouth Capital Funding Corp.
T4762511AT,&T Inc. 7.0% 01-DEC-2095D,0.06849999999999999,1.0206,0.07,2095-12-01,69.38809034907598,45530000.0,1000.0,â,"AT&T, Inc."
TT3668086B,ellSouth Telecommunications LLC 7.0% 01-DEC-2095D,0.0683,1.0234,0.07,2095-12-01,69.38809034907598,76550000.0,1000.0,BBB,BellSouth Telecommunications LLC
XS78571004,AT&T Inc. 4.875% 01-JUN-2044,0.0667,0.8154,0.048799999999999996,2044-06-01,17.88911704312115,1250000000.0,1000.0,BBB,"AT&T, Inc."
,SOBGAT&T Inc. 4.25% 01-JUN-2043D,0.0662,0.7628,0.0425,2043-06-01,16.8870636550308,1000000000.0,1000.0,BBB,"AT&T, Inc."
T6376102AT,&T Inc. 6.3% 30-OCT-2066D,0.0658,0.9603,0.063,2066-10-30,40.30116358658453,1000000000.0,1000.0,BBB,"AT&T, Inc."
T4762516AT,&T Inc. 7.12% 15-JUL-2097D,0.0652,1.0898,0.0712,2097-07-15,71.00889801505818,85860000.0,1000.0,â,"AT&T, Inc."
T6376101AT,&T Inc. 6.2% 30-OCT-2056D,0.06509999999999999,0.9582999999999999,0.062,2056-10-30,30.302532511978097,2000000000.0,1000.0,BBB,"AT&T, Inc."
US206RKF8A,T&T Inc. 3.5% 01-FEB-2061,0.06480000000000001,0.5901,0.035,2061-02-01,34.559890485968516,646670000.0,1000.0,BBB,"AT&T, Inc."
