tenor,real_cod,spread,rating,offset,real_cod_BBB
1.0,0.027991604,0.006031,BBB,1.0,0.027991604
2.0,0.029093173,0.006031,BBB,1.0,0.029093173
3.0,0.031230758,0.007077,BBB,1.0,0.031230758
4.0,0.033335583,0.008123,BBB,1.0,0.033335583
5.0,0.035263517,0.008985,BBB,1.0,0.035263517
6.0,0.037248983,0.009846,BBB,1.0,0.037248983
7.0,0.039201885,0.010585,BBB,1.0,0.039201885
8.0,0.0412428,0.011323,BBB,1.0,0.0412428
9.0,0.043002945,0.011738,BBB,1.0,0.043002945
10.0,0.044427617,0.011831,BBB,1.0,0.044427617
11.0,0.045790439,0.011923,BBB,1.0,0.045790439
12.0,0.047030435,0.012015,BBB,1.0,0.047030435
13.0,0.048048643,0.012062,BBB,1.0,0.048048643
14.0,0.048805607,0.012062,BBB,1.0,0.048805607
15.0,0.049326993,0.012062,BBB,1.0,0.049326993
16.0,0.049600903,0.012062,BBB,1.0,0.049600903
17.0,0.049627144,0.012062,BBB,1.0,0.049627144
18.0,0.049410943,0.012062,BBB,1.0,0.049410943
19.0,0.048970283,0.012062,BBB,1.0,0.048970283
20.0,0.048333751,0.012062,BBB,1.0,0.048333751
21.0,0.047535225,0.012062,BBB,1.0,0.047535225
22.0,0.046627406,0.012062,BBB,1.0,0.046627406
23.0,0.045650312,0.012062,BBB,1.0,0.045650312
24.0,0.044645925,0.012062,BBB,1.0,0.044645925
25.0,0.043660244,0.012062,BBB,1.0,0.043660244
26.0,0.042741185,0.012062,BBB,1.0,0.042741185
27.0,0.041932331,0.012062,BBB,1.0,0.041932331
28.0,0.041270914,0.012062,BBB,1.0,0.041270914
29.0,0.040774346,0.012062,BBB,1.0,0.040774346
30.0,0.040438231,0.012062,BBB,1.0,0.040438231
