tenor,real_cod,spread,rating,offset,real_cod_AA
1.0,2.271,0.3276,AA,0.9244,2.2978
2.0,2.3201,0.3276,AA,0.9244,2.3469
3.0,2.4302,0.3866,AA,0.9244,2.4618
4.0,2.5529,0.4455,AA,0.9244,2.5894
5.0,2.6813,0.4849,AA,0.9244,2.721
6.0,2.8438,0.5242,AA,0.9244,2.8867
7.0,3.0386,0.5635,AA,0.9244,3.0847
8.0,3.2562,0.6029,AA,0.9244,3.3055
9.0,3.4623,0.6216,AA,0.9244,3.5132
10.0,3.6431,0.6201,AA,0.9244,3.6938
11.0,3.8064,0.6184,AA,0.9244,3.857
12.0,3.9436,0.6167,AA,0.9244,3.9941
13.0,4.0533,0.6186,AA,0.9244,4.1039
14.0,4.1336,0.6238,AA,0.9244,4.1846
15.0,4.1826,0.629,AA,0.9244,4.2341
16.0,4.2037,0.6343,AA,0.9244,4.2556
17.0,4.2015,0.6395,AA,0.9244,4.2538
18.0,4.1814,0.6448,AA,0.9244,4.2341
19.0,4.1486,0.65,AA,0.9244,4.2018
20.0,4.1075,0.6553,AA,0.9244,4.1611
21.0,4.0557,0.6553,AA,0.9244,4.1093
22.0,3.9995,0.6553,AA,0.9244,4.0531
23.0,3.9407,0.6553,AA,0.9244,3.9943
24.0,3.8816,0.6553,AA,0.9244,3.9352
25.0,3.8247,0.6553,AA,0.9244,3.8783
26.0,3.773,0.6553,AA,0.9244,3.8266
27.0,3.7295,0.6553,AA,0.9244,3.7831
28.0,3.6969,0.6553,AA,0.9244,3.7505
29.0,3.677,0.6553,AA,0.9244,3.7306
30.0,3.6695,0.6553,AA,0.9244,3.7231
