tenor,real_cod,spread,rating,offset,real_cod_BBB
1.0,2.4628,0.583,BBB,1.0,2.4628
2.0,2.5334,0.583,BBB,1.0,2.5334
3.0,2.7363,0.7133,BBB,1.0,2.7363
4.0,2.951,0.8435,BBB,1.0,2.951
5.0,3.1448,0.9304,BBB,1.0,3.1448
6.0,3.3682,1.0172,BBB,1.0,3.3682
7.0,3.6119,1.0966,BBB,1.0,3.6119
8.0,3.8745,1.176,BBB,1.0,3.8745
9.0,4.1007,1.2126,BBB,1.0,4.1007
10.0,4.2779,1.2064,BBB,1.0,4.2779
11.0,4.438,1.2002,BBB,1.0,4.438
12.0,4.5723,1.194,BBB,1.0,4.5723
13.0,4.6829,1.195,BBB,1.0,4.6829
14.0,4.7687,1.2033,BBB,1.0,4.7687
15.0,4.8241,1.2116,BBB,1.0,4.8241
16.0,4.8523,1.2198,BBB,1.0,4.8523
17.0,4.8582,1.2281,BBB,1.0,4.8582
18.0,4.8467,1.2364,BBB,1.0,4.8467
19.0,4.8228,1.2446,BBB,1.0,4.8228
20.0,4.7912,1.2529,BBB,1.0,4.7912
21.0,4.7463,1.2529,BBB,1.0,4.7463
22.0,4.6988,1.2529,BBB,1.0,4.6988
23.0,4.6507,1.2529,BBB,1.0,4.6507
24.0,4.6039,1.2529,BBB,1.0,4.6039
25.0,4.5606,1.2529,BBB,1.0,4.5606
26.0,4.5231,1.2529,BBB,1.0,4.5231
27.0,4.4936,1.2529,BBB,1.0,4.4936
28.0,4.4743,1.2529,BBB,1.0,4.4743
29.0,4.4661,1.2529,BBB,1.0,4.4661
30.0,4.4687,1.2529,BBB,1.0,4.4687
