tenor,real_cod,spread,rating,offset,real_cod_BBB
1.0,0.024933774,0.00583,BBB,1.0,0.024933774
2.0,0.025657633,0.00583,BBB,1.0,0.025657633
3.0,0.027740805,0.007133,BBB,1.0,0.027740805
4.0,0.029949735,0.008435,BBB,1.0,0.029949735
5.0,0.031947713,0.009304,BBB,1.0,0.031947713
6.0,0.034255661,0.010172,BBB,1.0,0.034255661
7.0,0.036779216,0.010966,BBB,1.0,0.036779216
8.0,0.039505376,0.01176,BBB,1.0,0.039505376
9.0,0.041859399,0.012126,BBB,1.0,0.041859399
10.0,0.04370721,0.012064,BBB,1.0,0.04370721
11.0,0.045379524,0.012002,BBB,1.0,0.045379524
12.0,0.046784412,0.01194,BBB,1.0,0.046784412
13.0,0.047942796,0.01195,BBB,1.0,0.047942796
14.0,0.048842316,0.012033,BBB,1.0,0.048842316
15.0,0.049423536,0.012116,BBB,1.0,0.049423536
16.0,0.049719515,0.012198,BBB,1.0,0.049719515
17.0,0.04978145,0.012281,BBB,1.0,0.04978145
18.0,0.049660732,0.012364,BBB,1.0,0.049660732
19.0,0.049409894,0.012446,BBB,1.0,0.049409894
20.0,0.049078332,0.012529,BBB,1.0,0.049078332
21.0,0.048607402,0.012529,BBB,1.0,0.048607402
22.0,0.048109432,0.012529,BBB,1.0,0.048109432
23.0,0.047605412,0.012529,BBB,1.0,0.047605412
24.0,0.047115248,0.012529,BBB,1.0,0.047115248
25.0,0.046661945,0.012529,BBB,1.0,0.046661945
26.0,0.04626952,0.012529,BBB,1.0,0.04626952
27.0,0.045960916,0.012529,BBB,1.0,0.045960916
28.0,0.045759065,0.012529,BBB,1.0,0.045759065
29.0,0.045673317,0.012529,BBB,1.0,0.045673317
30.0,0.045700504,0.012529,BBB,1.0,0.045700504
