tenor,real_cod,spread,rating,offset,real_cod_BBB
1.0,0.026111074,0.006002,BBB,1.0,0.026111074
2.0,0.027030881,0.006002,BBB,1.0,0.027030881
3.0,0.029154921,0.007166,BBB,1.0,0.029154921
4.0,0.031351419,0.00833,BBB,1.0,0.031351419
5.0,0.033443056,0.009249,BBB,1.0,0.033443056
6.0,0.035734669,0.010167,BBB,1.0,0.035734669
7.0,0.037974274,0.010853,BBB,1.0,0.037974274
8.0,0.040334192,0.011539,BBB,1.0,0.040334192
9.0,0.042398179,0.011913,BBB,1.0,0.042398179
10.0,0.044062131,0.011974,BBB,1.0,0.044062131
11.0,0.045567709,0.012036,BBB,1.0,0.045567709
12.0,0.046851408,0.012097,BBB,1.0,0.046851408
13.0,0.047866299,0.012144,BBB,1.0,0.047866299
14.0,0.048603208,0.012176,BBB,1.0,0.048603208
15.0,0.049094069,0.012209,BBB,1.0,0.049094069
16.0,0.049375264,0.012242,BBB,1.0,0.049375264
17.0,0.049494899,0.012274,BBB,1.0,0.049494899
18.0,0.04951484,0.012307,BBB,1.0,0.04951484
19.0,0.049490701,0.01234,BBB,1.0,0.049490701
20.0,0.049471811,0.012372,BBB,1.0,0.049471811
21.0,0.049449772,0.012372,BBB,1.0,0.049449772
22.0,0.049450821,0.012372,BBB,1.0,0.049450821
23.0,0.049478107,0.012372,BBB,1.0,0.049478107
24.0,0.04953688,0.012372,BBB,1.0,0.04953688
25.0,0.049631342,0.012372,BBB,1.0,0.049631342
26.0,0.049766754,0.012372,BBB,1.0,0.049766754
27.0,0.049948379,0.012372,BBB,1.0,0.049948379
28.0,0.050182543,0.012372,BBB,1.0,0.050182543
29.0,0.050469282,0.012372,BBB,1.0,0.050469282
30.0,0.050804436,0.012372,BBB,1.0,0.050804436
