tenor,real_cod,spread,rating,offset,real_cod_BBB
1.0,2.6245,0.6049,BBB,1.0,2.6245
2.0,2.6873,0.6049,BBB,1.0,2.6873
3.0,2.8808,0.7346,BBB,1.0,2.8808
4.0,3.0849,0.8642,BBB,1.0,3.0849
5.0,3.2679,0.9506,BBB,1.0,3.2679
6.0,3.4813,1.037,BBB,1.0,3.4813
7.0,3.7097,1.1111,BBB,1.0,3.7097
8.0,3.9555,1.1852,BBB,1.0,3.9555
9.0,4.1686,1.2222,BBB,1.0,4.1686
10.0,4.336,1.2222,BBB,1.0,4.336
11.0,4.4842,1.2222,BBB,1.0,4.4842
12.0,4.6069,1.2222,BBB,1.0,4.6069
13.0,4.7044,1.2255,BBB,1.0,4.7044
14.0,4.7765,1.2321,BBB,1.0,4.7765
15.0,4.8219,1.2387,BBB,1.0,4.8219
16.0,4.844,1.2453,BBB,1.0,4.844
17.0,4.8471,1.2519,BBB,1.0,4.8471
18.0,4.836,1.2584,BBB,1.0,4.836
19.0,4.8152,1.265,BBB,1.0,4.8152
20.0,4.7887,1.2716,BBB,1.0,4.7887
21.0,4.7524,1.2716,BBB,1.0,4.7524
22.0,4.7146,1.2716,BBB,1.0,4.7146
23.0,4.6768,1.2716,BBB,1.0,4.6768
24.0,4.6405,1.2716,BBB,1.0,4.6405
25.0,4.6075,1.2716,BBB,1.0,4.6075
26.0,4.5794,1.2716,BBB,1.0,4.5794
27.0,4.5582,1.2716,BBB,1.0,4.5582
28.0,4.5453,1.2716,BBB,1.0,4.5453
29.0,4.5418,1.2716,BBB,1.0,4.5418
30.0,4.5473,1.2716,BBB,1.0,4.5473
