tenor,real_cod,spread,rating,offset,real_cod_BBB
1.0,0.023838183,0.003401489,BBB,0.567956152,0.026490805
2.0,0.024448572,0.003401489,BBB,0.567956152,0.027102776
3.0,0.025820907,0.004130177,BBB,0.567956152,0.029048923
4.0,0.027314826,0.004859433,BBB,0.567956152,0.031119392
5.0,0.028797902,0.005345035,BBB,0.567956152,0.032989474
6.0,0.030605203,0.005831206,BBB,0.567956152,0.03518691
7.0,0.032634721,0.006247518,BBB,0.567956152,0.037553979
8.0,0.034856562,0.00666383,BBB,0.567956152,0.040115745
9.0,0.036918433,0.006872269,BBB,0.567956152,0.042353357
10.0,0.038682694,0.006872269,BBB,0.567956152,0.044126865
11.0,0.04025541,0.006872269,BBB,0.567956152,0.045707824
12.0,0.041565916,0.006872269,BBB,0.567956152,0.0470252
13.0,0.042599394,0.006891012,BBB,0.567956152,0.048079037
14.0,0.043351293,0.006927929,BBB,0.567956152,0.048864342
15.0,0.043819776,0.006964846,BBB,0.567956152,0.04936477
16.0,0.044042047,0.007001763,BBB,0.567956152,0.049617697
17.0,0.044061797,0.007038681,BBB,0.567956152,0.04966703
18.0,0.043929716,0.007076166,BBB,0.567956152,0.049564168
19.0,0.043689554,0.007113083,BBB,0.567956152,0.049352178
20.0,0.043385798,0.00715,BBB,0.567956152,0.049076234
21.0,0.04300816,0.00715,BBB,0.567956152,0.048696537
22.0,0.042612935,0.00715,BBB,0.567956152,0.048299157
23.0,0.042219944,0.00715,BBB,0.567956152,0.047904022
24.0,0.041843771,0.00715,BBB,0.567956152,0.047525797
25.0,0.041502102,0.00715,BBB,0.567956152,0.047182265
26.0,0.041214687,0.00715,BBB,0.567956152,0.046893283
27.0,0.041000219,0.00715,BBB,0.567956152,0.046677645
28.0,0.040874266,0.00715,BBB,0.567956152,0.046551005
29.0,0.040847203,0.00715,BBB,0.567956152,0.046523795
30.0,0.040912779,0.00715,BBB,0.567956152,0.046589728
