tenor,real_cod,spread,rating,offset,real_cod_BBB
1.0,0.029158008,0.00586,BBB,1.0,0.029158008
2.0,0.03018356,0.00586,BBB,1.0,0.03018356
3.0,0.03215722,0.006836,BBB,1.0,0.03215722
4.0,0.034065376,0.007813,BBB,1.0,0.034065376
5.0,0.035873467,0.008729,BBB,1.0,0.035873467
6.0,0.037691983,0.009644,BBB,1.0,0.037691983
7.0,0.039403509,0.010377,BBB,1.0,0.039403509
8.0,0.04123447,0.011109,BBB,1.0,0.04123447
9.0,0.042836078,0.011521,BBB,1.0,0.042836078
10.0,0.044165498,0.011613,BBB,1.0,0.044165498
11.0,0.045489294,0.011704,BBB,1.0,0.045489294
12.0,0.046724747,0.011796,BBB,1.0,0.046724747
13.0,0.047752087,0.011842,BBB,1.0,0.047752087
14.0,0.048522468,0.011842,BBB,1.0,0.048522468
15.0,0.049053155,0.011842,BBB,1.0,0.049053155
16.0,0.049331191,0.011842,BBB,1.0,0.049331191
17.0,0.049360572,0.011842,BBB,1.0,0.049360572
18.0,0.049154918,0.011842,BBB,1.0,0.049154918
19.0,0.048736389,0.011842,BBB,1.0,0.048736389
20.0,0.048138779,0.011842,BBB,1.0,0.048138779
21.0,0.047390675,0.011842,BBB,1.0,0.047390675
22.0,0.046536353,0.011842,BBB,1.0,0.046536353
23.0,0.045608487,0.011842,BBB,1.0,0.045608487
24.0,0.044648014,0.011842,BBB,1.0,0.044648014
25.0,0.043697817,0.011842,BBB,1.0,0.043697817
26.0,0.042804794,0.011842,BBB,1.0,0.042804794
27.0,0.042015689,0.011842,BBB,1.0,0.042015689
28.0,0.041365674,0.011842,BBB,1.0,0.041365674
29.0,0.040877388,0.011842,BBB,1.0,0.040877388
30.0,0.040544361,0.011842,BBB,1.0,0.040544361
