tenor,real_cod,spread,rating,offset,real_cod_A
1.0,2.1643,0.1475,A,0.3594,2.4272
2.0,2.2116,0.1475,A,0.3594,2.4745
3.0,2.2899,0.1776,A,0.3594,2.6064
4.0,2.3808,0.2077,A,0.3594,2.751
5.0,2.4885,0.2272,A,0.3594,2.8936
6.0,2.6347,0.2468,A,0.3594,3.0747
7.0,2.8163,0.2661,A,0.3594,3.2906
8.0,3.0229,0.2853,A,0.3594,3.5315
9.0,3.2298,0.2942,A,0.3594,3.7543
10.0,3.4221,0.2927,A,0.3594,3.9439
11.0,3.5974,0.2912,A,0.3594,4.1165
12.0,3.7459,0.2897,A,0.3594,4.2623
13.0,3.8641,0.2903,A,0.3594,4.3817
14.0,3.95,0.2931,A,0.3594,4.4726
15.0,4.0022,0.2959,A,0.3594,4.5298
16.0,4.0236,0.2988,A,0.3594,4.5562
17.0,4.0182,0.3016,A,0.3594,4.5558
18.0,3.9909,0.3044,A,0.3594,4.5335
19.0,3.9466,0.3072,A,0.3594,4.4942
20.0,3.8904,0.31,A,0.3594,4.443
21.0,3.8235,0.31,A,0.3594,4.3761
22.0,3.7526,0.31,A,0.3594,4.3052
23.0,3.6805,0.31,A,0.3594,4.2331
24.0,3.6101,0.31,A,0.3594,4.1627
25.0,3.544,0.31,A,0.3594,4.0966
26.0,3.485,0.31,A,0.3594,4.0376
27.0,3.4359,0.31,A,0.3594,3.9885
28.0,3.3988,0.31,A,0.3594,3.9514
29.0,3.375,0.31,A,0.3594,3.9276
30.0,3.3637,0.31,A,0.3594,3.9163
