tenor,real_cod,spread,rating,offset,real_cod_A
1.0,0.021878796,0.00147489,A,0.359378623,0.024568963
2.0,0.022362259,0.00147489,A,0.359378623,0.025053699
3.0,0.023162877,0.00177569,A,0.359378623,0.026406636
4.0,0.024093518,0.002076849,A,0.359378623,0.027891894
5.0,0.025197576,0.002272351,A,0.359378623,0.029358713
6.0,0.026697369,0.002468212,A,0.359378623,0.031224571
7.0,0.028563161,0.002660839,A,0.359378623,0.03345339
8.0,0.030690645,0.002853107,A,0.359378623,0.03594598
9.0,0.032825482,0.002942233,A,0.359378623,0.038256641
10.0,0.034813419,0.002927139,A,0.359378623,0.040227043
11.0,0.03662894,0.002912045,A,0.359378623,0.042024025
12.0,0.03816938,0.002896951,A,0.359378623,0.043544404
13.0,0.039397709,0.00290342,A,0.359378623,0.044791141
14.0,0.040290968,0.002931451,A,0.359378623,0.045741288
15.0,0.040834175,0.002959483,A,0.359378623,0.046339623
16.0,0.041056303,0.002987874,A,0.359378623,0.046615893
17.0,0.041000121,0.003015905,A,0.359378623,0.046611706
18.0,0.040715999,0.003043937,A,0.359378623,0.046378338
19.0,0.040255097,0.003071968,A,0.359378623,0.045967192
20.0,0.03967067,0.0031,A,0.359378623,0.045431794
21.0,0.038975363,0.0031,A,0.359378623,0.044732634
22.0,0.038238991,0.0031,A,0.359378623,0.043992181
23.0,0.03749069,0.0031,A,0.359378623,0.043239734
24.0,0.036760554,0.0031,A,0.359378623,0.042505552
25.0,0.036075482,0.0031,A,0.359378623,0.041816683
26.0,0.035464377,0.0031,A,0.359378623,0.041202193
27.0,0.034956089,0.0031,A,0.359378623,0.040691088
28.0,0.034572192,0.0031,A,0.359378623,0.040305063
29.0,0.034325993,0.0031,A,0.359378623,0.0400575
30.0,0.034209121,0.0031,A,0.359378623,0.03993998
