tenor,real_cod,spread,rating,offset,real_cod_BBB
1.0,0.025820726,0.005989,BBB,1.0,0.025820726
2.0,0.026481567,0.005989,BBB,1.0,0.026481567
3.0,0.028468703,0.007272,BBB,1.0,0.028468703
4.0,0.030592624,0.008556,BBB,1.0,0.030592624
5.0,0.032489628,0.00935,BBB,1.0,0.032489628
6.0,0.034762571,0.010144,BBB,1.0,0.034762571
7.0,0.037414956,0.010976,BBB,1.0,0.037414956
8.0,0.040289459,0.011807,BBB,1.0,0.040289459
9.0,0.042719287,0.012146,BBB,1.0,0.042719287
10.0,0.044549822,0.011993,BBB,1.0,0.044549822
11.0,0.046173268,0.01184,BBB,1.0,0.046173268
12.0,0.047505894,0.011687,BBB,1.0,0.047505894
13.0,0.04864725,0.011668,BBB,1.0,0.04864725
14.0,0.049591457,0.011782,BBB,1.0,0.049591457
15.0,0.050219301,0.011896,BBB,1.0,0.050219301
16.0,0.050563829,0.01201,BBB,1.0,0.050563829
17.0,0.050673093,0.012124,BBB,1.0,0.050673093
18.0,0.050593245,0.012239,BBB,1.0,0.050593245
19.0,0.050369493,0.012353,BBB,1.0,0.050369493
20.0,0.050043929,0.012467,BBB,1.0,0.050043929
21.0,0.049526384,0.012467,BBB,1.0,0.049526384
22.0,0.048956646,0.012467,BBB,1.0,0.048956646
23.0,0.04835996,0.012467,BBB,1.0,0.04835996
24.0,0.047760469,0.012467,BBB,1.0,0.047760469
25.0,0.047187501,0.012467,BBB,1.0,0.047187501
26.0,0.046673458,0.012467,BBB,1.0,0.046673458
27.0,0.046249641,0.012467,BBB,1.0,0.046249641
28.0,0.045947319,0.012467,BBB,1.0,0.045947319
29.0,0.045782072,0.012467,BBB,1.0,0.045782072
30.0,0.045749654,0.012467,BBB,1.0,0.045749654
