tenor,real_cod,spread,rating,offset,real_cod_BBB
1.0,2.6146,0.5989,BBB,1.0,2.6146
2.0,2.6742,0.5989,BBB,1.0,2.6742
3.0,2.8635,0.7272,BBB,1.0,2.8635
4.0,3.0645,0.8556,BBB,1.0,3.0645
5.0,3.2457,0.9411,BBB,1.0,3.2457
6.0,3.4582,1.0267,BBB,1.0,3.4582
7.0,3.6866,1.1,BBB,1.0,3.6866
8.0,3.9332,1.1733,BBB,1.0,3.9332
9.0,4.1481,1.21,BBB,1.0,4.1481
10.0,4.3181,1.21,BBB,1.0,4.3181
11.0,4.4694,1.21,BBB,1.0,4.4694
12.0,4.5953,1.21,BBB,1.0,4.5953
13.0,4.6959,1.2133,BBB,1.0,4.6959
14.0,4.7708,1.2198,BBB,1.0,4.7708
15.0,4.8185,1.2263,BBB,1.0,4.8185
16.0,4.8426,1.2328,BBB,1.0,4.8426
17.0,4.8473,1.2393,BBB,1.0,4.8473
18.0,4.8375,1.2459,BBB,1.0,4.8375
19.0,4.8173,1.2524,BBB,1.0,4.8173
20.0,4.791,1.2589,BBB,1.0,4.791
21.0,4.7548,1.2589,BBB,1.0,4.7548
22.0,4.7169,1.2589,BBB,1.0,4.7169
23.0,4.6792,1.2589,BBB,1.0,4.6792
24.0,4.6431,1.2589,BBB,1.0,4.6431
25.0,4.6103,1.2589,BBB,1.0,4.6103
26.0,4.5827,1.2589,BBB,1.0,4.5827
27.0,4.5621,1.2589,BBB,1.0,4.5621
28.0,4.55,1.2589,BBB,1.0,4.55
29.0,4.5474,1.2589,BBB,1.0,4.5474
30.0,4.5537,1.2589,BBB,1.0,4.5537
