tenor,real_cod,spread,rating,offset,real_cod_BBB
1.0,0.023796136,0.003443421,BBB,0.567846481,0.026482593
2.0,0.024281531,0.003443421,BBB,0.567846481,0.026969261
3.0,0.025497486,0.004145847,BBB,0.567846481,0.028738197
4.0,0.026851004,0.004848841,BBB,0.567846481,0.030647247
5.0,0.028241837,0.00530539,BBB,0.567846481,0.03240187
6.0,0.030039281,0.005761938,BBB,0.567846481,0.034565984
7.0,0.032210555,0.006211673,BBB,0.567846481,0.037101704
8.0,0.034644001,0.006661407,BBB,0.567846481,0.039902543
9.0,0.036933955,0.006869239,BBB,0.567846481,0.042368992
10.0,0.038909944,0.006834032,BBB,0.567846481,0.044327356
11.0,0.040687785,0.006798826,BBB,0.567846481,0.046086439
12.0,0.042173691,0.006763619,BBB,0.567846481,0.047551986
13.0,0.04336801,0.006778951,BBB,0.567846481,0.048764705
14.0,0.044253477,0.006844254,BBB,0.567846481,0.049706919
15.0,0.04479336,0.006910124,BBB,0.567846481,0.050302271
16.0,0.04501624,0.006975426,BBB,0.567846481,0.050578537
17.0,0.04496908,0.007041296,BBB,0.567846481,0.05058379
18.0,0.044701918,0.007106599,BBB,0.567846481,0.050367392
19.0,0.044267277,0.007172469,BBB,0.567846481,0.049983028
20.0,0.043713234,0.007237771,BBB,0.567846481,0.049478107
21.0,0.04301418,0.007237771,BBB,0.567846481,0.048775193
22.0,0.042273903,0.007237771,BBB,0.567846481,0.048030826
23.0,0.041523736,0.007237771,BBB,0.567846481,0.047276516
24.0,0.04078972,0.007237771,BBB,0.567846481,0.046538446
25.0,0.040099905,0.007237771,BBB,0.567846481,0.045844821
26.0,0.039482269,0.007237771,BBB,0.567846481,0.045223774
27.0,0.038966814,0.007237771,BBB,0.567846481,0.044705471
28.0,0.038574159,0.007237771,BBB,0.567846481,0.044310647
29.0,0.038317663,0.007237771,BBB,0.567846481,0.044052734
30.0,0.038190996,0.007237771,BBB,0.567846481,0.043925368
