tenor,real_cod,spread,rating,offset,real_cod_BBB
1.0,2.2221,0.2717,BBB,0.4537,2.5493
2.0,2.2865,0.2717,BBB,0.4537,2.6137
3.0,2.4099,0.33,BBB,0.4537,2.8071
4.0,2.546,0.3882,BBB,0.4537,3.0134
5.0,2.6865,0.4242,BBB,0.4537,3.1973
6.0,2.8631,0.4603,BBB,0.4537,3.4172
7.0,3.0736,0.498,BBB,0.4537,3.6732
8.0,3.3049,0.5357,BBB,0.4537,3.9499
9.0,3.5197,0.5511,BBB,0.4537,4.1832
10.0,3.7035,0.5442,BBB,0.4537,4.3586
11.0,3.8671,0.5372,BBB,0.4537,4.5139
12.0,4.0028,0.5303,BBB,0.4537,4.6412
13.0,4.1127,0.5294,BBB,0.4537,4.7501
14.0,4.1965,0.5346,BBB,0.4537,4.8401
15.0,4.2501,0.5398,BBB,0.4537,4.8999
16.0,4.2766,0.5449,BBB,0.4537,4.9327
17.0,4.2808,0.5501,BBB,0.4537,4.9431
18.0,4.2669,0.5553,BBB,0.4537,4.9355
19.0,4.2394,0.5605,BBB,0.4537,4.9142
20.0,4.2022,0.5657,BBB,0.4537,4.8832
21.0,4.1529,0.5657,BBB,0.4537,4.8339
22.0,4.0986,0.5657,BBB,0.4537,4.7796
23.0,4.0417,0.5657,BBB,0.4537,4.7227
24.0,3.9845,0.5657,BBB,0.4537,4.6655
25.0,3.9298,0.5657,BBB,0.4537,4.6108
26.0,3.8807,0.5657,BBB,0.4537,4.5617
27.0,3.8402,0.5657,BBB,0.4537,4.5212
28.0,3.8113,0.5657,BBB,0.4537,4.4923
29.0,3.7955,0.5657,BBB,0.4537,4.4765
30.0,3.7924,0.5657,BBB,0.4537,4.4734
