tenor,real_cod,spread,rating,offset,real_cod_BBB
1.0,0.026081317,0.005989,BBB,1.0,0.026081317
2.0,0.026746433,0.005989,BBB,1.0,0.026746433
3.0,0.028677503,0.007211,BBB,1.0,0.028677503
4.0,0.030723518,0.008433,BBB,1.0,0.030723518
5.0,0.032692016,0.00935,BBB,1.0,0.032692016
6.0,0.034982998,0.010267,BBB,1.0,0.034982998
7.0,0.03738176,0.011,BBB,1.0,0.03738176
8.0,0.039975339,0.011733,BBB,1.0,0.039975339
9.0,0.042237662,0.0121,BBB,1.0,0.042237662
10.0,0.044022457,0.0121,BBB,1.0,0.044022457
11.0,0.045596985,0.0121,BBB,1.0,0.045596985
12.0,0.046898517,0.0121,BBB,1.0,0.046898517
13.0,0.047931268,0.012133,BBB,1.0,0.047931268
14.0,0.048695489,0.012198,BBB,1.0,0.048695489
15.0,0.049178,0.012263,BBB,1.0,0.049178
16.0,0.04941619,0.012328,BBB,1.0,0.04941619
17.0,0.049457118,0.012393,BBB,1.0,0.049457118
18.0,0.04934798,0.012459,BBB,1.0,0.04934798
19.0,0.049133935,0.012524,BBB,1.0,0.049133935
20.0,0.048857,0.012589,BBB,1.0,0.048857
21.0,0.048477383,0.012589,BBB,1.0,0.048477383
22.0,0.048081133,0.012589,BBB,1.0,0.048081133
23.0,0.047687129,0.012589,BBB,1.0,0.047687129
24.0,0.047310029,0.012589,BBB,1.0,0.047310029
25.0,0.046968662,0.012589,BBB,1.0,0.046968662
26.0,0.046680785,0.012589,BBB,1.0,0.046680785
27.0,0.046466237,0.012589,BBB,1.0,0.046466237
28.0,0.046339623,0.012589,BBB,1.0,0.046339623
29.0,0.046312418,0.012589,BBB,1.0,0.046312418
30.0,0.046379384,0.012589,BBB,1.0,0.046379384
