tenor,real_cod,spread,rating,offset,real_cod_BBB
1.0,3.0551,1.0777,BBB,1.7956,2.5776
2.0,3.1447,1.0777,BBB,1.7956,2.6672
3.0,3.444,1.2868,BBB,1.7956,2.8738
4.0,3.7498,1.4958,BBB,1.7956,3.087
5.0,4.0255,1.6608,BBB,1.7956,3.2896
6.0,4.32,1.8256,BBB,1.7956,3.5111
7.0,4.5906,1.9488,BBB,1.7956,3.7271
8.0,4.8723,2.072,BBB,1.7956,3.9542
9.0,5.1002,2.1391,BBB,1.7956,4.1524
10.0,5.2646,2.1501,BBB,1.7956,4.3119
11.0,5.4136,2.1612,BBB,1.7956,4.456
12.0,5.5412,2.1722,BBB,1.7956,4.5787
13.0,5.6418,2.1806,BBB,1.7956,4.6756
14.0,5.7147,2.1864,BBB,1.7956,4.7459
15.0,5.7641,2.1923,BBB,1.7956,4.7927
16.0,5.7935,2.1982,BBB,1.7956,4.8195
17.0,5.8075,2.204,BBB,1.7956,4.8309
18.0,5.812,2.2099,BBB,1.7956,4.8328
19.0,5.8123,2.2158,BBB,1.7956,4.8305
20.0,5.8131,2.2216,BBB,1.7956,4.8287
21.0,5.811,2.2216,BBB,1.7956,4.8266
22.0,5.8111,2.2216,BBB,1.7956,4.8267
23.0,5.8137,2.2216,BBB,1.7956,4.8293
24.0,5.8193,2.2216,BBB,1.7956,4.8349
25.0,5.8283,2.2216,BBB,1.7956,4.8439
26.0,5.8412,2.2216,BBB,1.7956,4.8568
27.0,5.8585,2.2216,BBB,1.7956,4.8741
28.0,5.8808,2.2216,BBB,1.7956,4.8964
29.0,5.9081,2.2216,BBB,1.7956,4.9237
30.0,5.94,2.2216,BBB,1.7956,4.9556
