tenor,real_cod,spread,rating,offset,real_cod_BBB
1.0,2.1713,0.1545,BBB,0.2548,2.6232
2.0,2.2186,0.1545,BBB,0.2548,2.6705
3.0,2.2983,0.186,BBB,0.2548,2.8424
4.0,2.3907,0.2176,BBB,0.2548,3.027
5.0,2.4994,0.2381,BBB,0.2548,3.1956
6.0,2.6465,0.2586,BBB,0.2548,3.4026
7.0,2.829,0.2788,BBB,0.2548,3.6441
8.0,3.0365,0.2989,BBB,0.2548,3.9107
9.0,3.2439,0.3083,BBB,0.2548,4.1453
10.0,3.4361,0.3067,BBB,0.2548,4.3329
11.0,3.6113,0.3051,BBB,0.2548,4.5035
12.0,3.7597,0.3035,BBB,0.2548,4.6473
13.0,3.878,0.3042,BBB,0.2548,4.7676
14.0,3.964,0.3071,BBB,0.2548,4.8622
15.0,4.0164,0.3101,BBB,0.2548,4.9232
16.0,4.0378,0.313,BBB,0.2548,4.9532
17.0,4.0326,0.316,BBB,0.2548,4.9566
18.0,4.0054,0.3189,BBB,0.2548,4.938
19.0,3.9613,0.3219,BBB,0.2548,4.9025
20.0,3.9052,0.3248,BBB,0.2548,4.855
21.0,3.8383,0.3248,BBB,0.2548,4.7881
22.0,3.7674,0.3248,BBB,0.2548,4.7172
23.0,3.6953,0.3248,BBB,0.2548,4.6451
24.0,3.6249,0.3248,BBB,0.2548,4.5747
25.0,3.5588,0.3248,BBB,0.2548,4.5086
26.0,3.4998,0.3248,BBB,0.2548,4.4496
27.0,3.4507,0.3248,BBB,0.2548,4.4005
28.0,3.4136,0.3248,BBB,0.2548,4.3634
29.0,3.3898,0.3248,BBB,0.2548,4.3396
30.0,3.3785,0.3248,BBB,0.2548,4.3283
