tenor,real_cod,spread,rating,offset,real_cod_BBB
1.0,0.027382186,0.006049,BBB,1.0,0.027382186
2.0,0.027724361,0.006049,BBB,1.0,0.027724361
3.0,0.029279456,0.007222,BBB,1.0,0.029279456
4.0,0.030958549,0.008395,BBB,1.0,0.030958549
5.0,0.032583589,0.009259,BBB,1.0,0.032583589
6.0,0.034581503,0.010123,BBB,1.0,0.034581503
7.0,0.036887047,0.010914,BBB,1.0,0.036887047
8.0,0.039487705,0.011704,BBB,1.0,0.039487705
9.0,0.041818767,0.012099,BBB,1.0,0.041818767
10.0,0.043708254,0.012099,BBB,1.0,0.043708254
11.0,0.045423431,0.012099,BBB,1.0,0.045423431
12.0,0.046856642,0.012099,BBB,1.0,0.046856642
13.0,0.047996242,0.012148,BBB,1.0,0.047996242
14.0,0.04882973,0.012247,BBB,1.0,0.04882973
15.0,0.049322796,0.012346,BBB,1.0,0.049322796
16.0,0.049517988,0.012444,BBB,1.0,0.049517988
17.0,0.049474959,0.012543,BBB,1.0,0.049474959
18.0,0.049252494,0.012642,BBB,1.0,0.049252494
19.0,0.048906298,0.012741,BBB,1.0,0.048906298
20.0,0.048483674,0.01284,BBB,1.0,0.048483674
21.0,0.047906118,0.01284,BBB,1.0,0.047906118
22.0,0.047286989,0.01284,BBB,1.0,0.047286989
23.0,0.046643105,0.01284,BBB,1.0,0.046643105
24.0,0.045995434,0.01284,BBB,1.0,0.045995434
25.0,0.045371161,0.01284,BBB,1.0,0.045371161
26.0,0.044799499,0.01284,BBB,1.0,0.044799499
27.0,0.044310647,0.01284,BBB,1.0,0.044310647
28.0,0.043932675,0.01284,BBB,1.0,0.043932675
29.0,0.043683205,0.01284,BBB,1.0,0.043683205
30.0,0.043561101,0.01284,BBB,1.0,0.043561101
