tenor,real_cod,spread,rating,offset,real_cod_BBB
1.0,2.5807,0.6049,BBB,1.0,2.5807
2.0,2.6455,0.6049,BBB,1.0,2.6455
3.0,2.8409,0.7346,BBB,1.0,2.8409
4.0,3.047,0.8642,BBB,1.0,3.047
5.0,3.2325,0.9506,BBB,1.0,3.2325
6.0,3.4488,1.037,BBB,1.0,3.4488
7.0,3.6811,1.1111,BBB,1.0,3.6811
8.0,3.9316,1.1852,BBB,1.0,3.9316
9.0,4.1492,1.2222,BBB,1.0,4.1492
10.0,4.3203,1.2222,BBB,1.0,4.3203
11.0,4.471,1.2222,BBB,1.0,4.471
12.0,4.5954,1.2222,BBB,1.0,4.5954
13.0,4.694,1.2255,BBB,1.0,4.694
14.0,4.767,1.2321,BBB,1.0,4.767
15.0,4.8131,1.2387,BBB,1.0,4.8131
16.0,4.8359,1.2453,BBB,1.0,4.8359
17.0,4.8399,1.2519,BBB,1.0,4.8399
18.0,4.8294,1.2584,BBB,1.0,4.8294
19.0,4.8091,1.265,BBB,1.0,4.8091
20.0,4.7828,1.2716,BBB,1.0,4.7828
21.0,4.7466,1.2716,BBB,1.0,4.7466
22.0,4.7088,1.2716,BBB,1.0,4.7088
23.0,4.6712,1.2716,BBB,1.0,4.6712
24.0,4.6352,1.2716,BBB,1.0,4.6352
25.0,4.6026,1.2716,BBB,1.0,4.6026
26.0,4.5751,1.2716,BBB,1.0,4.5751
27.0,4.5546,1.2716,BBB,1.0,4.5546
28.0,4.5425,1.2716,BBB,1.0,4.5425
29.0,4.5399,1.2716,BBB,1.0,4.5399
30.0,4.5463,1.2716,BBB,1.0,4.5463
