tenor,real_cod,spread,rating,offset,real_cod_BBB
1.0,0.024173,0.006116,BBB,1.021994,0.024038
2.0,0.025262,0.006116,BBB,1.021994,0.025128
3.0,0.027465,0.007262,BBB,1.021994,0.027304
4.0,0.029659,0.00841,BBB,1.021994,0.029473
5.0,0.03163,0.009238,BBB,1.021994,0.031425
6.0,0.033814,0.010066,BBB,1.021994,0.03359
7.0,0.03611,0.01078,BBB,1.021994,0.035869
8.0,0.038575,0.011493,BBB,1.021994,0.038318
9.0,0.040746,0.01185,BBB,1.021994,0.040481
10.0,0.042508,0.01185,BBB,1.021994,0.042242
11.0,0.044123,0.01185,BBB,1.021994,0.043856
12.0,0.045519,0.01185,BBB,1.021994,0.045252
13.0,0.046681,0.011884,BBB,1.021994,0.046413
14.0,0.047584,0.011952,BBB,1.021994,0.047314
15.0,0.048188,0.01202,BBB,1.021994,0.047917
16.0,0.048508,0.012088,BBB,1.021994,0.048235
17.0,0.048569,0.012156,BBB,1.021994,0.048295
18.0,0.048411,0.012224,BBB,1.021994,0.048136
19.0,0.048071,0.012292,BBB,1.021994,0.047794
20.0,0.047593,0.01236,BBB,1.021994,0.047314
21.0,0.046941,0.01236,BBB,1.021994,0.046663
22.0,0.046223,0.01236,BBB,1.021994,0.045945
23.0,0.045469,0.01236,BBB,1.021994,0.045191
24.0,0.04471,0.01236,BBB,1.021994,0.044432
25.0,0.043978,0.01236,BBB,1.021994,0.0437
26.0,0.043311,0.01236,BBB,1.021994,0.043033
27.0,0.042743,0.01236,BBB,1.021994,0.042466
28.0,0.042306,0.01236,BBB,1.021994,0.042029
29.0,0.042018,0.01236,BBB,1.021994,0.041741
30.0,0.041871,0.01236,BBB,1.021994,0.041594
