tenor,real_cod,spread,rating,offset,real_cod_BBB
1.0,2.7923,0.586,BBB,1.0,2.7923
2.0,2.8896,0.586,BBB,1.0,2.8896
3.0,3.0797,0.6836,BBB,1.0,3.0797
4.0,3.2652,0.7813,BBB,1.0,3.2652
5.0,3.4432,0.8729,BBB,1.0,3.4432
6.0,3.6244,0.9644,BBB,1.0,3.6244
7.0,3.7963,1.0377,BBB,1.0,3.7963
8.0,3.9792,1.1109,BBB,1.0,3.9792
9.0,4.1389,1.1521,BBB,1.0,4.1389
10.0,4.2703,1.1613,BBB,1.0,4.2703
11.0,4.3992,1.1704,BBB,1.0,4.3992
12.0,4.5182,1.1796,BBB,1.0,4.5182
13.0,4.6166,1.1842,BBB,1.0,4.6166
14.0,4.6901,1.1842,BBB,1.0,4.6901
15.0,4.7408,1.1842,BBB,1.0,4.7408
16.0,4.7679,1.1842,BBB,1.0,4.7679
17.0,4.7716,1.1842,BBB,1.0,4.7716
18.0,4.7533,1.1842,BBB,1.0,4.7533
19.0,4.715,1.1842,BBB,1.0,4.715
20.0,4.6598,1.1842,BBB,1.0,4.6598
21.0,4.5904,1.1842,BBB,1.0,4.5904
22.0,4.5108,1.1842,BBB,1.0,4.5108
23.0,4.4242,1.1842,BBB,1.0,4.4242
24.0,4.3343,1.1842,BBB,1.0,4.3343
25.0,4.2454,1.1842,BBB,1.0,4.2454
26.0,4.162,1.1842,BBB,1.0,4.162
27.0,4.0883,1.1842,BBB,1.0,4.0883
28.0,4.028,1.1842,BBB,1.0,4.028
29.0,3.9831,1.1842,BBB,1.0,3.9831
30.0,3.9531,1.1842,BBB,1.0,3.9531
