tenor,real_rf,market_erp,credit_relative,idiosyncratic,company_erp,real_coe
1.0,0.020276838,0.030238666,0.000577662,0.001225792,0.03204212,0.052318958
2.0,0.020760564,0.028622046,0.000577039,0.00173208,0.030931165,0.051691728
3.0,0.021254731,0.027141922,0.000998394,0.002120608,0.030260924,0.051515656
4.0,0.021884018,0.025790539,0.001421263,0.002448352,0.029660153,0.051544171
5.0,0.022801059,0.024559242,0.001694912,0.002737611,0.028991765,0.051792824
6.0,0.024121324,0.02344009,0.001969437,0.003000636,0.028410162,0.052531486
7.0,0.025818674,0.022422828,0.002241599,0.003244369,0.027908796,0.05372747
8.0,0.027774721,0.02149666,0.002515022,0.003473049,0.027484731,0.055259452
9.0,0.029835417,0.020649623,0.00264479,0.003688799,0.026983212,0.056818629
10.0,0.031834205,0.01987326,0.002626401,0.00389315,0.02639281,0.058227015
11.0,0.033636327,0.019158112,0.002607626,0.004087675,0.025853413,0.05948974
12.0,0.035148609,0.018497886,0.002588231,0.004273173,0.02535929,0.060507899
13.0,0.036318988,0.017888196,0.002598574,0.004450431,0.0249372,0.061256189
14.0,0.037130744,0.017323154,0.00263864,0.00462005,0.024581844,0.061712587
15.0,0.037598595,0.016800472,0.002679754,0.004782511,0.024262736,0.061861331
16.0,0.037752171,0.016315867,0.002716566,0.004938347,0.023970779,0.06172295
17.0,0.037636987,0.015868329,0.002756334,0.005088178,0.023712841,0.061349828
18.0,0.037303959,0.015454686,0.002793781,0.005232541,0.023481009,0.060784968
19.0,0.036804099,0.015072704,0.00283081,0.005371986,0.023275501,0.060079599
20.0,0.036186348,0.014720021,0.002867533,0.005507026,0.02309458,0.059280927
21.0,0.035492335,0.014396198,0.002864755,0.00563792,0.022898874,0.058391209
22.0,0.034757397,0.014097506,0.002861935,0.005765277,0.022724717,0.057482114
23.0,0.03401264,0.013824319,0.002859157,0.005889491,0.022572967,0.056585607
24.0,0.033283918,0.013572725,0.002856482,0.006010894,0.022440101,0.055724019
25.0,0.032599077,0.013341966,0.002853984,0.006129839,0.022325789,0.054924866
26.0,0.031985896,0.013131271,0.002851736,0.00624667,0.022229677,0.054215573
27.0,0.031474158,0.012938837,0.002849815,0.006361737,0.022150388,0.053624546
28.0,0.031084334,0.012763786,0.002848273,0.006475332,0.022087391,0.053171725
29.0,0.030829688,0.012604107,0.002847143,0.006587693,0.022038942,0.05286863
30.0,0.030703934,0.012459646,0.002846405,0.006698935,0.022004987,0.052708921
