tenor,real_rf,market_erp,credit_relative,idiosyncratic,company_erp,real_coe
1.0,2.0168,2.5568,0.0446,0.0,2.6014,4.6182
2.0,2.0641,2.4317,0.0446,0.0,2.4763,4.5404
3.0,2.1123,2.3171,0.0772,0.0,2.3943,4.5066
4.0,2.1731,2.2119,0.1099,0.0,2.3218,4.4949
5.0,2.2613,2.1155,0.1311,0.0,2.2466,4.5079
6.0,2.3879,2.027,0.1523,0.0,2.1793,4.5672
7.0,2.5502,1.9459,0.1732,0.0,2.1191,4.6693
8.0,2.7376,1.8716,0.1941,0.0,2.0657,4.8033
9.0,2.9356,1.8034,0.2039,0.0,2.0073,4.9429
10.0,3.1294,1.7409,0.2023,0.0,1.9432,5.0726
11.0,3.3062,1.6835,0.2006,0.0,1.8841,5.1903
12.0,3.4562,1.631,0.199,0.0,1.83,5.2862
13.0,3.5738,1.5827,0.1996,0.0,1.7823,5.3561
14.0,3.6569,1.5385,0.2027,0.0,1.7412,5.3981
15.0,3.7063,1.498,0.2058,0.0,1.7038,5.4101
16.0,3.7248,1.4608,0.2087,0.0,1.6695,5.3943
17.0,3.7166,1.4267,0.2119,0.0,1.6386,5.3552
18.0,3.6865,1.3954,0.2149,0.0,1.6103,5.2968
19.0,3.6394,1.3668,0.2179,0.0,1.5847,5.2241
20.0,3.5804,1.3405,0.221,0.0,1.5615,5.1419
21.0,3.5135,1.3164,0.221,0.0,1.5374,5.0509
22.0,3.4426,1.2943,0.221,0.0,1.5153,4.9579
23.0,3.3705,1.274,0.221,0.0,1.495,4.8655
24.0,3.3001,1.2554,0.221,0.0,1.4764,4.7765
25.0,3.234,1.2384,0.221,0.0,1.4594,4.6934
26.0,3.175,1.2227,0.221,0.0,1.4437,4.6187
27.0,3.1259,1.2084,0.221,0.0,1.4294,4.5553
28.0,3.0888,1.1952,0.221,0.0,1.4162,4.505
29.0,3.065,1.1832,0.221,0.0,1.4042,4.4692
30.0,3.0537,1.1721,0.221,0.0,1.3931,4.4468
