tenor,real_rf,market_erp,credit_relative,idiosyncratic,company_erp,real_coe
1.0,0.017929,0.025864,-0.002051,0.0,0.023813,0.041742
2.0,0.019011,0.024566,-0.002051,0.0,0.022515,0.041527
3.0,0.02003,0.023376,-0.002557,0.0,0.020819,0.040849
4.0,0.021036,0.022285,-0.003064,0.0,0.019221,0.040257
5.0,0.022144,0.021287,-0.003384,0.0,0.017903,0.040047
6.0,0.02346,0.020378,-0.003706,0.0,0.016672,0.040132
7.0,0.025,0.019548,-0.004029,0.0,0.01552,0.04052
8.0,0.026706,0.018791,-0.004352,0.0,0.014439,0.041146
9.0,0.028486,0.018099,-0.004511,0.0,0.013588,0.042074
10.0,0.030227,0.017466,-0.004501,0.0,0.012964,0.043191
11.0,0.031823,0.016882,-0.004493,0.0,0.012389,0.044212
12.0,0.033202,0.016344,-0.004482,0.0,0.011862,0.045064
13.0,0.034316,0.015848,-0.004496,0.0,0.011352,0.045667
14.0,0.035137,0.015389,-0.004535,0.0,0.010854,0.045991
15.0,0.035664,0.014965,-0.00457,0.0,0.010394,0.046059
16.0,0.03591,0.014572,-0.004605,0.0,0.009967,0.045877
17.0,0.0359,0.014209,-0.00464,0.0,0.009569,0.045469
18.0,0.035674,0.013872,-0.004674,0.0,0.009198,0.044871
19.0,0.035268,0.013561,-0.004704,0.0,0.008857,0.044124
20.0,0.034724,0.013275,-0.004737,0.0,0.008538,0.043262
21.0,0.034081,0.01301,-0.004733,0.0,0.008277,0.042358
22.0,0.033372,0.012767,-0.004729,0.0,0.008038,0.04141
23.0,0.032627,0.012542,-0.004724,0.0,0.007818,0.040445
24.0,0.031877,0.012336,-0.00472,0.0,0.007616,0.039492
25.0,0.031153,0.012147,-0.004716,0.0,0.007431,0.038584
26.0,0.030495,0.011974,-0.004712,0.0,0.007262,0.037757
27.0,0.029934,0.011816,-0.004709,0.0,0.007107,0.037041
28.0,0.029503,0.011672,-0.004706,0.0,0.006966,0.036469
29.0,0.029218,0.011542,-0.004704,0.0,0.006838,0.036055
30.0,0.029073,0.011423,-0.004703,0.0,0.00672,0.035792
