tenor,real_rf,market_erp,credit_relative,idiosyncratic,company_erp,real_coe
1.0,1.777,2.5091,-0.3356,0.0,2.1735,3.9505
2.0,1.8833,2.3822,-0.3356,0.0,2.0466,3.9299
3.0,1.9832,2.2658,-0.4124,0.0,1.8534,3.8366
4.0,2.0818,2.1591,-0.4893,0.0,1.6698,3.7516
5.0,2.1902,2.0612,-0.5378,0.0,1.5234,3.7136
6.0,2.3189,1.9715,-0.5864,0.0,1.3851,3.704
7.0,2.4693,1.8892,-0.635,0.0,1.2542,3.7235
8.0,2.6356,1.8137,-0.6835,0.0,1.1302,3.7658
9.0,2.8088,1.7445,-0.7068,0.0,1.0377,3.8465
10.0,2.9779,1.6811,-0.7047,0.0,0.9764,3.9543
11.0,3.1327,1.6229,-0.7028,0.0,0.9201,4.0528
12.0,3.2663,1.5695,-0.7006,0.0,0.8689,4.1352
13.0,3.374,1.5206,-0.7023,0.0,0.8183,4.1923
14.0,3.4534,1.4757,-0.7078,0.0,0.7679,4.2213
15.0,3.5043,1.4346,-0.7132,0.0,0.7214,4.2257
16.0,3.528,1.3969,-0.7185,0.0,0.6784,4.2064
17.0,3.5271,1.3623,-0.724,0.0,0.6383,4.1654
18.0,3.5052,1.3305,-0.7294,0.0,0.6011,4.1063
19.0,3.466,1.3014,-0.7347,0.0,0.5667,4.0327
20.0,3.4135,1.2748,-0.7401,0.0,0.5347,3.9482
21.0,3.3513,1.2503,-0.7401,0.0,0.5102,3.8615
22.0,3.2827,1.2279,-0.7401,0.0,0.4878,3.7705
23.0,3.2106,1.2073,-0.7401,0.0,0.4672,3.6778
24.0,3.1379,1.1884,-0.7401,0.0,0.4483,3.5862
25.0,3.0678,1.1711,-0.7401,0.0,0.431,3.4988
26.0,3.0039,1.1553,-0.7401,0.0,0.4152,3.4191
27.0,2.9495,1.1407,-0.7401,0.0,0.4006,3.3501
28.0,2.9076,1.1274,-0.7401,0.0,0.3873,3.2949
29.0,2.8799,1.1152,-0.7401,0.0,0.3751,3.255
30.0,2.8658,1.1039,-0.7401,0.0,0.3638,3.2296
