tenor,real_rf,market_erp,credit_relative,idiosyncratic,company_erp,real_coe
1.0,2.0168,2.5568,0.048,0.4587,3.0635,5.0803
2.0,2.0641,2.4317,0.048,0.6487,3.1284,5.1925
3.0,2.1123,2.3171,0.0831,0.7945,3.1947,5.307
4.0,2.1731,2.2119,0.1183,0.9174,3.2476,5.4207
5.0,2.2613,2.1155,0.1411,1.0257,3.2823,5.5436
6.0,2.3879,2.027,0.164,1.1236,3.3145,5.7024
7.0,2.5502,1.9459,0.1865,1.2136,3.346,5.8962
8.0,2.7376,1.8716,0.209,1.2974,3.378,6.1156
9.0,2.9356,1.8034,0.2195,1.3761,3.399,6.3346
10.0,3.1294,1.7409,0.2177,1.4505,3.4092,6.5386
11.0,3.3062,1.6835,0.2159,1.5213,3.4208,6.727
12.0,3.4562,1.631,0.2142,1.589,3.4341,6.8903
13.0,3.5738,1.5827,0.2149,1.6539,3.4515,7.0253
14.0,3.6569,1.5385,0.2182,1.7163,3.473,7.1299
15.0,3.7063,1.498,0.2216,1.7765,3.4961,7.2024
16.0,3.7248,1.4608,0.2247,1.8348,3.5203,7.2451
17.0,3.7166,1.4267,0.2281,1.8913,3.5461,7.2627
18.0,3.6865,1.3954,0.2313,1.9461,3.5728,7.2593
19.0,3.6394,1.3668,0.2346,1.9994,3.6008,7.2402
20.0,3.5804,1.3405,0.2379,2.0514,3.6297,7.2101
21.0,3.5135,1.3164,0.2379,2.102,3.6563,7.1698
22.0,3.4426,1.2943,0.2379,2.1515,3.6837,7.1263
23.0,3.3705,1.274,0.2379,2.1998,3.7117,7.0822
24.0,3.3001,1.2554,0.2379,2.2472,3.7404,7.0405
25.0,3.234,1.2384,0.2379,2.2935,3.7698,7.0038
26.0,3.175,1.2227,0.2379,2.3389,3.7995,6.9745
27.0,3.1259,1.2084,0.2379,2.3835,3.8297,6.9556
28.0,3.0888,1.1952,0.2379,2.4272,3.8603,6.9491
29.0,3.065,1.1832,0.2379,2.4702,3.8912,6.9562
30.0,3.0537,1.1721,0.2379,2.5124,3.9224,6.9761
