tenor,real_rf,market_erp,credit_relative,idiosyncratic,company_erp,real_coe
1.0,1.9504,2.3074,-0.368,0.4027,2.3421,4.2925
2.0,2.0148,2.2022,-0.368,0.5696,2.4037,4.4185
3.0,2.0799,2.1057,-0.4221,0.6976,2.3811,4.461
4.0,2.1578,2.0173,-0.4762,0.8055,2.3466,4.5044
5.0,2.2623,1.9362,-0.5097,0.9005,2.3271,4.5894
6.0,2.4028,1.8618,-0.5432,0.9865,2.3051,4.7079
7.0,2.5756,1.7936,-0.5782,1.0655,2.281,4.8566
8.0,2.7692,1.731,-0.6132,1.1391,2.2569,5.0261
9.0,2.9686,1.6737,-0.6276,1.2082,2.2543,5.2229
10.0,3.1593,1.6211,-0.621,1.2736,2.2736,5.4329
11.0,3.3299,1.5729,-0.6147,1.3357,2.2939,5.6238
12.0,3.4725,1.5286,-0.6082,1.3951,2.3155,5.788
13.0,3.5833,1.4881,-0.6075,1.4521,2.3327,5.916
14.0,3.6619,1.4509,-0.6122,1.5069,2.3456,6.0075
15.0,3.7103,1.4168,-0.617,1.5598,2.3596,6.0699
16.0,3.7317,1.3855,-0.6219,1.6109,2.3745,6.1062
17.0,3.7307,1.3568,-0.6267,1.6605,2.3907,6.1214
18.0,3.7116,1.3305,-0.6314,1.7087,2.4078,6.1194
19.0,3.6789,1.3064,-0.6363,1.7555,2.4256,6.1045
20.0,3.6365,1.2843,-0.641,1.8011,2.4444,6.0809
21.0,3.5872,1.264,-0.641,1.8456,2.4685,6.0557
22.0,3.5329,1.2454,-0.641,1.889,2.4934,6.0263
23.0,3.476,1.2284,-0.641,1.9315,2.5188,5.9948
24.0,3.4188,1.2128,-0.641,1.973,2.5448,5.9636
25.0,3.3641,1.1984,-0.641,2.0137,2.571,5.9351
26.0,3.315,1.1853,-0.641,2.0536,2.5978,5.9128
27.0,3.2745,1.1732,-0.641,2.0927,2.6248,5.8993
28.0,3.2456,1.1622,-0.641,2.1311,2.6522,5.8978
29.0,3.2298,1.152,-0.641,2.1688,2.6798,5.9096
30.0,3.2267,1.1427,-0.641,2.2059,2.7075,5.9342
