tenor,real_rf,market_erp,credit_relative,idiosyncratic,company_erp,real_coe
1.0,2.0074,2.9207,-0.4989,0.0,2.4218,4.4292
2.0,2.0548,2.7654,-0.4989,0.0,2.2665,4.3213
3.0,2.1032,2.623,-0.5718,0.0,2.0512,4.1544
4.0,2.1648,2.4925,-0.6447,0.0,1.8478,4.0126
5.0,2.2545,2.3728,-0.6921,0.0,1.6807,3.9352
6.0,2.3835,2.263,-0.7395,0.0,1.5235,3.907
7.0,2.5491,2.1623,-0.7862,0.0,1.3761,3.9252
8.0,2.7396,2.07,-0.8329,0.0,1.2371,3.9767
9.0,2.9399,1.9853,-0.8543,0.0,1.131,4.0709
10.0,3.1338,1.9077,-0.8507,0.0,1.057,4.1908
11.0,3.3083,1.8365,-0.847,0.0,0.9895,4.2978
12.0,3.4545,1.7712,-0.8434,0.0,0.9278,4.3823
13.0,3.5675,1.7114,-0.845,0.0,0.8664,4.4339
14.0,3.6458,1.6565,-0.8518,0.0,0.8047,4.4505
15.0,3.6909,1.6062,-0.8585,0.0,0.7477,4.4386
16.0,3.7057,1.56,-0.8655,0.0,0.6945,4.4002
17.0,3.6946,1.5177,-0.8722,0.0,0.6455,4.3401
18.0,3.6625,1.4789,-0.879,0.0,0.5999,4.2624
19.0,3.6143,1.4433,-0.8858,0.0,0.5575,4.1718
20.0,3.5547,1.4106,-0.8926,0.0,0.518,4.0727
21.0,3.4877,1.3807,-0.8926,0.0,0.4881,3.9758
22.0,3.4167,1.3532,-0.8926,0.0,0.4606,3.8773
23.0,3.3447,1.3281,-0.8926,0.0,0.4355,3.7802
24.0,3.2742,1.305,-0.8926,0.0,0.4124,3.6866
25.0,3.2079,1.2838,-0.8926,0.0,0.3912,3.5991
26.0,3.1485,1.2644,-0.8926,0.0,0.3718,3.5203
27.0,3.0989,1.2466,-0.8926,0.0,0.354,3.4529
28.0,3.0611,1.2303,-0.8926,0.0,0.3377,3.3988
29.0,3.0364,1.2153,-0.8926,0.0,0.3227,3.3591
30.0,3.0242,1.2016,-0.8926,0.0,0.309,3.3332
