tenor,real_rf,market_erp,credit_relative,idiosyncratic,company_erp,real_coe
1.0,2.0965,3.4857,0.0503,0.7612,4.2972,6.3937
2.0,2.1298,3.2844,0.0503,1.0765,4.4112,6.541
3.0,2.1637,3.0998,0.0866,1.3185,4.5048,6.6685
4.0,2.2094,2.9305,0.1229,1.5224,4.5758,6.7852
5.0,2.2805,2.7752,0.1495,1.7021,4.6269,6.9074
6.0,2.3874,2.6329,0.1762,1.8646,4.6737,7.0611
7.0,2.5309,2.5023,0.2008,2.014,4.7171,7.248
8.0,2.7024,2.3826,0.2252,2.153,4.7608,7.4632
9.0,2.8869,2.2728,0.2374,2.2836,4.7939,7.6808
10.0,3.0681,2.1722,0.2374,2.4072,4.8168,7.8849
11.0,3.2323,2.0799,0.2374,2.5247,4.842,8.0743
12.0,3.3693,1.9952,0.2374,2.6369,4.8695,8.2388
13.0,3.4732,1.9176,0.2389,2.7446,4.9011,8.3743
14.0,3.5428,1.8464,0.242,2.8482,4.9366,8.4794
15.0,3.5799,1.7812,0.2451,2.9482,4.9744,8.5543
16.0,3.5887,1.7213,0.248,3.0449,5.0141,8.6028
17.0,3.5747,1.6664,0.2511,3.1386,5.056,8.6307
18.0,3.5436,1.6161,0.2542,3.2296,5.0998,8.6434
19.0,3.5007,1.5699,0.2573,3.318,5.1452,8.6459
20.0,3.4505,1.5276,0.2604,3.4042,5.1922,8.6427
21.0,3.3954,1.4888,0.2604,3.4883,5.2375,8.6329
22.0,3.3363,1.4532,0.2604,3.5704,5.284,8.6203
23.0,3.2748,1.4206,0.2604,3.6506,5.3316,8.6064
24.0,3.2129,1.3907,0.2604,3.7292,5.3802,8.5931
25.0,3.1532,1.3632,0.2604,3.8061,5.4296,8.5828
26.0,3.0985,1.338,0.2604,3.8814,5.4798,8.5783
27.0,3.0517,1.315,0.2604,3.9554,5.5307,8.5824
28.0,3.0155,1.2938,0.2604,4.028,5.5821,8.5976
29.0,2.9916,1.2744,0.2604,4.0993,5.634,8.6256
30.0,2.9799,1.2566,0.2604,4.1693,5.6863,8.6662
