tenor,real_rf,market_erp,credit_relative,idiosyncratic,company_erp,real_coe
1.0,0.021186309,0.036223139,0.000531825,0.008083911,0.044838875,0.066025184
2.0,0.021526421,0.03410807,0.000530933,0.011431221,0.046070224,0.067596645
3.0,0.021872777,0.032172071,0.000912887,0.014001281,0.047086239,0.068959017
4.0,0.02233988,0.030402974,0.001294179,0.016169698,0.047866851,0.070206731
5.0,0.023067022,0.028789795,0.001574183,0.018084163,0.048448141,0.071515163
6.0,0.024161265,0.027323261,0.001854694,0.019824627,0.049002581,0.073163847
7.0,0.025631992,0.025988184,0.002113822,0.021437128,0.049539135,0.075171127
8.0,0.02739246,0.024772597,0.002372287,0.022950733,0.050095617,0.077488077
9.0,0.029289749,0.023661569,0.002502865,0.024380067,0.050544501,0.079834249
10.0,0.031156512,0.022643826,0.002504883,0.025735521,0.05088423,0.082040742
11.0,0.032851062,0.021707231,0.002506685,0.027026994,0.05124091,0.084091972
12.0,0.034267038,0.020842934,0.002507996,0.028259468,0.051610397,0.085877435
13.0,0.0353422,0.020045302,0.002524149,0.029437469,0.05200692,0.08734912
14.0,0.036063049,0.019307567,0.002556817,0.030565064,0.052429449,0.088492498
15.0,0.0364475,0.018626599,0.002588799,0.031645826,0.052861225,0.089308724
16.0,0.036538711,0.017996382,0.002618441,0.032683804,0.053298628,0.089837339
17.0,0.036393606,0.017415163,0.002649301,0.033683391,0.053747855,0.09014146
18.0,0.036071337,0.01687998,0.002679783,0.034648636,0.054208399,0.090279736
19.0,0.035626958,0.016386598,0.002710006,0.035583313,0.054679916,0.090306874
20.0,0.035107204,0.015933689,0.00274008,0.036490894,0.055164664,0.090271868
21.0,0.034537017,0.015517412,0.002737509,0.037372741,0.055627662,0.090164679
22.0,0.033925786,0.015134712,0.002734917,0.038231793,0.056101423,0.090027209
23.0,0.033290117,0.014783679,0.002732345,0.039070042,0.056586066,0.089876183
24.0,0.032650709,0.014461398,0.002729838,0.039889486,0.057080722,0.08973143
25.0,0.0320344,0.014165022,0.002727459,0.040692292,0.057584773,0.089619173
26.0,0.031470032,0.013893811,0.00272528,0.041480744,0.058099836,0.089569868
27.0,0.030987417,0.013647017,0.002723379,0.042257151,0.058627547,0.089614964
28.0,0.030614267,0.013420719,0.002721816,0.043023598,0.059166132,0.089780399
29.0,0.030367979,0.013215037,0.002720638,0.043781892,0.059717566,0.090085546
30.0,0.030247433,0.013027771,0.002719835,0.044532929,0.060280535,0.090527968
