tenor,real_rf,market_erp,credit_relative,idiosyncratic,company_erp,real_coe
1.0,1.777,2.5091,0.2007,0.0,2.7098,4.4868
2.0,1.8833,2.3822,0.2007,0.0,2.5829,4.4662
3.0,1.9832,2.2658,0.2926,0.0,2.5584,4.5416
4.0,2.0818,2.1591,0.3845,0.0,2.5436,4.6254
5.0,2.1902,2.0612,0.4428,0.0,2.504,4.6942
6.0,2.3189,1.9715,0.5008,0.0,2.4723,4.7912
7.0,2.4693,1.8892,0.5588,0.0,2.448,4.9173
8.0,2.6356,1.8137,0.6168,0.0,2.4305,5.0661
9.0,2.8088,1.7445,0.6443,0.0,2.3888,5.1976
10.0,2.9779,1.6811,0.6425,0.0,2.3236,5.3015
11.0,3.1327,1.6229,0.6397,0.0,2.2626,5.3953
12.0,3.2663,1.5695,0.6376,0.0,2.2071,5.4734
13.0,3.374,1.5206,0.6393,0.0,2.1599,5.5339
14.0,3.4534,1.4757,0.6458,0.0,2.1215,5.5749
15.0,3.5043,1.4346,0.652,0.0,2.0866,5.5909
16.0,3.528,1.3969,0.6588,0.0,2.0557,5.5837
17.0,3.5271,1.3623,0.6651,0.0,2.0274,5.5545
18.0,3.5052,1.3305,0.6716,0.0,2.0021,5.5073
19.0,3.466,1.3014,0.6781,0.0,1.9795,5.4455
20.0,3.4135,1.2748,0.6846,0.0,1.9594,5.3729
21.0,3.3513,1.2503,0.6846,0.0,1.9349,5.2862
22.0,3.2827,1.2279,0.6846,0.0,1.9125,5.1952
23.0,3.2106,1.2073,0.6846,0.0,1.8919,5.1025
24.0,3.1379,1.1884,0.6846,0.0,1.873,5.0109
25.0,3.0678,1.1711,0.6846,0.0,1.8557,4.9235
26.0,3.0039,1.1553,0.6846,0.0,1.8399,4.8438
27.0,2.9495,1.1407,0.6846,0.0,1.8253,4.7748
28.0,2.9076,1.1274,0.6846,0.0,1.812,4.7196
29.0,2.8799,1.1152,0.6846,0.0,1.7998,4.6797
30.0,2.8658,1.1039,0.6846,0.0,1.7885,4.6543
