yr,coe_real_dec,coe_nom_dec,coe_real_mean,coe_nom_mean,idio
1981,14.1,21.78,14.1,21.78,6.04
1982,13.1,19.16,12.49,19.3,4.61
1983,12.78,17.89,13.29,18.75,5.31
1984,9.97,14.48,11.7,16.49,2.59
1985,9.85,14.0,11.12,15.4,2.49
1986,9.1,12.87,8.93,12.82,2.16
1987,10.41,14.49,10.11,14.1,2.96
1988,9.77,13.9,9.44,13.51,1.68
1989,12.51,16.64,10.85,15.01,4.14
1990,9.41,13.54,10.6,14.74,3.18
1991,8.97,12.58,10.24,14.07,2.49
1992,9.05,12.39,8.98,12.45,2.41
1993,10.57,13.69,10.01,13.24,3.94
1994,9.91,12.86,9.99,13.01,2.98
1995,9.74,12.55,9.35,12.24,2.45
1996,10.03,12.78,10.56,13.34,2.62
1997,13.51,16.0,11.92,14.52,5.87
1998,13.43,15.87,12.76,15.21,5.08
1999,13.59,16.17,12.97,15.49,4.05
2000,13.57,16.23,14.45,17.11,4.85
2001,11.66,14.12,13.76,16.34,3.56
2002,9.95,12.47,10.82,13.27,2.86
2003,10.05,12.6,10.0,12.54,2.53
2004,11.65,14.41,10.24,12.91,4.91
2005,9.68,12.52,10.26,13.07,3.73
2006,9.08,11.81,9.4,12.22,3.01
2007,8.31,11.09,8.37,11.08,3.02
2008,11.53,13.78,9.17,11.84,4.0
2009,8.46,10.67,9.5,11.56,1.32
2010,8.86,10.89,8.82,10.89,1.63
2011,8.93,11.02,8.73,10.87,1.96
2012,9.56,11.42,9.32,11.26,2.74
2013,6.34,8.07,7.79,9.56,1.83
2014,6.43,8.03,6.02,7.72,2.27
2015,5.81,7.46,5.99,7.56,1.25
2016,5.95,7.9,5.89,7.67,1.77
2017,5.79,7.95,6.12,8.18,1.79
2018,7.18,9.52,6.55,8.85,2.8
2019,6.37,8.98,5.95,8.41,2.09
2020,10.45,13.37,9.45,12.17,2.28
2021,9.87,13.74,10.26,13.72,1.83
2022,8.32,12.31,8.08,12.16,1.54
2023,6.58,10.12,7.09,10.8,1.06
2024,7.78,11.12,7.44,10.85,1.69
2025,7.37,10.65,7.64,10.94,1.37
2026,8.15,11.5,7.58,10.9,1.91
