yr,coe_real_dec,coe_nom_dec,coe_real_mean,coe_nom_mean,idio
1987,11.1,15.18,11.48,15.51,3.65
1988,10.29,14.41,10.16,14.24,2.2
1989,11.13,15.26,11.04,15.2,2.76
1990,8.22,12.35,10.4,14.54,1.99
1991,8.21,11.82,8.5,12.33,1.73
1992,9.25,12.59,8.72,12.18,2.61
1993,7.97,11.08,8.87,12.09,1.34
1994,8.89,11.84,8.44,11.46,1.96
1995,9.89,12.7,9.06,11.96,2.61
1996,8.91,11.66,8.83,11.6,1.5
1997,9.4,11.89,9.37,11.97,1.76
1998,10.88,13.32,9.88,12.32,2.53
1999,12.53,15.11,11.97,14.48,2.99
2000,13.11,15.77,12.65,15.31,4.39
2001,10.16,12.61,11.68,14.27,2.06
2002,8.13,10.65,9.08,11.52,1.03
2003,9.41,11.96,8.83,11.37,1.89
2004,7.98,10.74,8.65,11.32,1.24
2005,7.48,10.32,7.71,10.52,1.53
2006,6.88,9.61,7.54,10.35,0.8
2007,7.57,10.35,6.96,9.67,2.28
2008,8.97,11.22,7.51,10.18,1.44
2009,8.62,10.82,8.75,10.8,1.48
2010,8.93,10.97,8.62,10.7,1.7
2011,8.2,10.29,8.72,10.86,1.23
2012,8.16,10.02,8.13,10.07,1.34
2013,6.0,7.73,6.76,8.54,1.49
2014,4.92,6.52,5.51,7.21,0.76
2015,6.52,8.17,6.24,7.8,1.96
2016,5.74,7.68,6.0,7.78,1.55
2017,5.24,7.4,5.35,7.41,1.24
2018,5.39,7.74,5.22,7.52,1.02
2019,5.01,7.63,5.4,7.86,0.74
2020,9.41,12.33,8.55,11.27,1.23
2021,9.59,13.46,9.57,13.03,1.56
2022,7.92,11.91,7.8,11.88,1.15
2023,7.33,10.87,7.21,10.91,1.82
2024,7.07,10.41,7.08,10.49,0.98
2025,7.3,10.58,7.24,10.53,1.3
2026,8.39,11.73,7.88,11.2,2.15
