,real_yield,market_erp,idio_erp,coe_real,exp_infl,coe_nominal,ticker
1981-12,3.126,4.931,2.787,10.844,7.677,18.521,NKE
1982-01,3.423,4.53,1.811,9.764,7.543,17.307,NKE
1982-02,3.525,4.519,1.941,9.985,7.386,17.371,NKE
1982-03,3.437,4.849,1.84,10.126,7.217,17.344,NKE
1982-04,3.495,4.928,1.945,10.368,7.094,17.462,NKE
1982-05,3.438,4.987,2.285,10.71,7.007,17.717,NKE
1982-06,3.614,4.717,2.525,10.856,6.937,17.793,NKE
1982-07,3.386,4.796,2.82,11.002,6.788,17.79,NKE
1982-08,3.141,5.215,2.335,10.691,6.64,17.331,NKE
1982-09,3.158,5.295,2.934,11.387,6.47,17.857,NKE
1982-10,3.137,5.214,2.702,11.053,6.375,17.427,NKE
1982-11,3.209,5.223,2.918,11.35,6.23,17.58,NKE
1982-12,3.581,4.912,3.185,11.678,6.066,17.745,NKE
1983-01,3.445,4.752,3.682,11.879,5.957,17.837,NKE
1983-02,3.705,4.606,4.182,12.493,5.845,18.339,NKE
1983-03,3.65,4.48,4.035,12.165,5.765,17.929,NKE
1983-04,3.354,4.38,4.113,11.847,5.702,17.549,NKE
1983-05,3.59,4.297,3.414,11.301,5.592,16.893,NKE
1983-06,3.746,4.228,4.062,12.036,5.432,17.468,NKE
1983-07,3.257,4.293,3.188,10.738,5.342,16.08,NKE
1983-08,3.279,4.302,3.211,10.792,5.274,16.066,NKE
1983-09,3.166,4.339,1.941,9.446,5.225,14.671,NKE
1983-10,3.158,4.33,2.334,9.822,5.159,14.981,NKE
1983-11,3.158,4.31,3.519,10.987,5.127,16.114,NKE
1983-12,3.192,4.278,3.282,10.752,5.104,15.856,NKE
1984-01,3.227,4.261,2.741,10.229,5.073,15.302,NKE
1984-02,3.151,4.332,2.617,10.1,5.043,15.142,NKE
1984-03,3.162,4.305,2.159,9.626,4.999,14.625,NKE
1984-04,3.201,4.292,2.817,10.31,4.925,15.235,NKE
1984-05,3.439,4.201,2.111,9.751,4.844,14.595,NKE
1984-06,3.464,4.213,1.686,9.363,4.79,14.154,NKE
1984-07,3.41,4.299,2.271,9.98,4.74,14.719,NKE
1984-08,3.615,4.348,3.196,11.159,4.7,15.859,NKE
1984-09,3.606,4.278,4.163,12.047,4.654,16.701,NKE
1984-10,3.433,4.066,4.828,12.327,4.612,16.94,NKE
1984-11,3.433,4.052,4.569,12.054,4.557,16.612,NKE
1984-12,3.272,4.103,3.952,11.327,4.512,15.839,NKE
1985-01,3.685,3.892,3.259,10.836,4.443,15.279,NKE
1985-02,3.774,3.875,2.569,10.218,4.407,14.625,NKE
1985-03,3.592,3.896,2.682,10.17,4.388,14.558,NKE
1985-04,3.598,3.863,3.013,10.474,4.355,14.829,NKE
1985-05,3.748,4.012,3.009,10.769,4.333,15.102,NKE
1985-06,3.863,4.041,3.062,10.966,4.304,15.269,NKE
1985-07,3.987,4.041,2.408,10.436,4.26,14.696,NKE
1985-08,3.802,4.03,2.829,10.661,4.218,14.879,NKE
1985-09,3.68,3.989,2.894,10.563,4.176,14.739,NKE
1985-10,3.669,3.918,2.408,9.995,4.157,14.152,NKE
1985-11,3.286,4.018,2.19,9.494,4.154,13.648,NKE
1985-12,3.361,3.997,1.818,9.176,4.152,13.327,NKE
1986-01,3.155,3.966,2.701,9.822,4.135,13.957,NKE
1986-02,3.087,4.016,4.352,11.455,4.054,15.509,NKE
1986-03,3.061,4.075,4.576,11.712,3.967,15.678,NKE
1986-04,3.196,3.974,4.067,11.237,3.895,15.132,NKE
1986-05,3.152,3.773,4.93,11.855,3.868,15.723,NKE
1986-06,3.101,3.783,5.298,12.182,3.871,16.053,NKE
1986-07,3.107,3.852,6.411,13.37,3.843,17.213,NKE
1986-08,2.948,4.031,6.904,13.883,3.831,17.713,NKE
