tenor,real_rf,market_erp,idiosyncratic,company_erp,real_coe
1.0,1.8798,3.135,3.3351,6.4701,8.3499
2.0,1.9504,4.2839,4.3944,8.6783,10.6287
3.0,2.023,6.5973,6.7675,13.3648,15.3878
4.0,2.1075,6.5897,6.7597,13.3494,15.4569
5.0,2.2144,6.5667,6.7362,13.3029,15.5173
6.0,2.351,6.5286,6.6971,13.2257,15.5767
7.0,2.5153,6.4751,6.6422,13.1173,15.6326
8.0,2.6985,6.4064,6.5717,12.9781,15.6766
9.0,2.8881,6.3224,6.4855,12.8079,15.696
10.0,3.0715,6.2231,6.3837,12.6068,15.6783
11.0,3.2378,6.1085,6.2661,12.3746,15.6124
12.0,3.3783,5.9787,6.133,12.1117,15.49
13.0,3.4879,5.8336,5.9841,11.8177,15.3056
14.0,3.5654,5.6732,5.8196,11.4928,15.0582
15.0,3.6125,5.4976,5.6395,11.1371,14.7496
16.0,3.6325,5.3067,5.4436,10.7503,14.3828
17.0,3.6301,5.1005,5.2321,10.3326,13.9627
18.0,3.6103,4.879,5.0049,9.8839,13.4942
19.0,3.5782,4.6423,4.7621,9.4044,12.9826
20.0,3.5383,4.3902,4.5035,8.8937,12.432
21.0,3.4934,4.1229,4.2293,8.3522,11.8456
22.0,3.4459,3.8404,3.9395,7.7799,11.2258
23.0,3.3978,3.5425,3.6339,7.1764,10.5742
24.0,3.351,3.2294,3.3127,6.5421,9.8931
25.0,3.3077,2.901,2.9759,5.8769,9.1846
26.0,3.2702,2.5574,2.6234,5.1808,8.451
27.0,3.2407,2.1984,2.2551,4.4535,7.6942
28.0,3.2214,1.8242,1.8713,3.6955,6.9169
29.0,3.2132,1.4348,1.4718,2.9066,6.1198
30.0,3.2158,1.03,1.0566,2.0866,5.3024
31.0,3.2158,1.03,1.0566,2.0866,5.3024
32.0,3.2158,1.03,1.0566,2.0866,5.3024
33.0,3.2158,1.03,1.0566,2.0866,5.3024
34.0,3.2158,1.03,1.0566,2.0866,5.3024
35.0,3.2158,1.03,1.0566,2.0866,5.3024
36.0,3.2158,1.03,1.0566,2.0866,5.3024
37.0,3.2158,1.03,1.0566,2.0866,5.3024
38.0,3.2158,1.03,1.0566,2.0866,5.3024
39.0,3.2158,1.03,1.0566,2.0866,5.3024
40.0,3.2158,1.03,1.0566,2.0866,5.3024
41.0,3.2158,1.03,1.0614,2.0914,5.3072
42.0,3.2158,1.03,1.0757,2.1057,5.3215
43.0,3.2158,1.03,1.099,2.129,5.3448
44.0,3.2158,1.03,1.131,2.161,5.3768
45.0,3.2158,1.03,1.1712,2.2012,5.417
46.0,3.2158,1.03,1.2193,2.2493,5.4651
47.0,3.2158,1.03,1.2748,2.3048,5.5206
48.0,3.2158,1.03,1.3374,2.3674,5.5832
49.0,3.2158,1.03,1.4067,2.4367,5.6525
50.0,3.2158,1.03,1.4823,2.5123,5.7281
51.0,3.2158,1.03,1.5638,2.5938,5.8096
52.0,3.2158,1.03,1.6507,2.6807,5.8965
53.0,3.2158,1.03,1.7428,2.7728,5.9886
54.0,3.2158,1.03,1.8396,2.8696,6.0854
55.0,3.2158,1.03,1.9408,2.9708,6.1866
56.0,3.2158,1.03,2.0458,3.0758,6.2916
57.0,3.2158,1.03,2.1544,3.1844,6.4002
58.0,3.2158,1.03,2.2661,3.2961,6.5119
