tenor,real_rf,market_erp
1.0,2.0157,2.9546
2.0,2.0753,3.9594
3.0,2.1363,5.3139
4.0,2.2089,5.308
5.0,2.3046,5.2905
6.0,2.4315,5.2612
7.0,2.5866,5.2203
8.0,2.7599,5.1677
9.0,2.9381,5.1033
10.0,3.1081,5.0273
11.0,3.2594,4.9395
12.0,3.3853,4.8401
13.0,3.4826,4.729
14.0,3.551,4.6062
15.0,3.5922,4.4716
16.0,3.6098,4.3254
17.0,3.608,4.1675
18.0,3.5916,3.9979
19.0,3.5649,3.8165
20.0,3.5321,3.6235
21.0,3.4959,3.4188
22.0,3.458,3.2024
23.0,3.4203,2.9743
24.0,3.3842,2.7345
25.0,3.3514,2.483
26.0,3.3238,2.2198
27.0,3.3032,1.9449
28.0,3.2911,1.6583
29.0,3.2885,1.36
30.0,3.2948,1.05
31.0,3.2948,1.05
32.0,3.2948,1.05
33.0,3.2948,1.05
34.0,3.2948,1.05
35.0,3.2948,1.05
36.0,3.2948,1.05
37.0,3.2948,1.05
38.0,3.2948,1.05
39.0,3.2948,1.05
40.0,3.2948,1.05
41.0,3.2948,1.05
42.0,3.2948,1.05
43.0,3.2948,1.05
44.0,3.2948,1.05
45.0,3.2948,1.05
46.0,3.2948,1.05
47.0,3.2948,1.05
48.0,3.2948,1.05
49.0,3.2948,1.05
50.0,3.2948,1.05
51.0,3.2948,1.05
52.0,3.2948,1.05
53.0,3.2948,1.05
54.0,3.2948,1.05
55.0,3.2948,1.05
56.0,3.2948,1.05
57.0,3.2948,1.05
58.0,3.2948,1.05
59.0,3.2948,1.05
60.0,3.2948,1.05
61.0,3.2948,1.05
62.0,3.2948,1.05
63.0,3.2948,1.05
64.0,3.2948,1.05
65.0,3.2948,1.05
66.0,3.2948,1.05
67.0,3.2948,1.05
68.0,3.2948,1.05
69.0,3.2948,1.05
70.0,3.2948,1.05
71.0,3.2948,1.05
72.0,3.2948,1.05
73.0,3.2948,1.05
74.0,3.2948,1.05
75.0,3.2948,1.05
76.0,3.2948,1.05
77.0,3.2948,1.05
78.0,3.2948,1.05
79.0,3.2948,1.05
80.0,3.2948,1.05
81.0,3.2948,1.05
82.0,3.2948,1.05
83.0,3.2948,1.05
84.0,3.2948,1.05
85.0,3.2948,1.05
86.0,3.2948,1.05
87.0,3.2948,1.05
88.0,3.2948,1.05
89.0,3.2948,1.05
90.0,3.2948,1.05
91.0,3.2948,1.05
92.0,3.2948,1.05
93.0,3.2948,1.05
94.0,3.2948,1.05
95.0,3.2948,1.05
96.0,3.2948,1.05
97.0,3.2948,1.05
98.0,3.2948,1.05
99.0,3.2948,1.05
100.0,3.2948,1.05
101.0,3.2948,1.05
102.0,3.2948,1.05
103.0,3.2948,1.05
104.0,3.2948,1.05
105.0,3.2948,1.05
106.0,3.2948,1.05
107.0,3.2948,1.05
108.0,3.2948,1.05
109.0,3.2948,1.05
110.0,3.2948,1.05
111.0,3.2948,1.05
112.0,3.2948,1.05
113.0,3.2948,1.05
114.0,3.2948,1.05
115.0,3.2948,1.05
116.0,3.2948,1.05
117.0,3.2948,1.05
118.0,3.2948,1.05
119.0,3.2948,1.05
120.0,3.2948,1.05
121.0,3.2948,1.05
122.0,3.2948,1.05
123.0,3.2948,1.05
124.0,3.2948,1.05
125.0,3.2948,1.05
126.0,3.2948,1.05
127.0,3.2948,1.05
128.0,3.2948,1.05
129.0,3.2948,1.05
130.0,3.2948,1.05
131.0,3.2948,1.05
132.0,3.2948,1.05
133.0,3.2948,1.05
134.0,3.2948,1.05
135.0,3.2948,1.05
136.0,3.2948,1.05
137.0,3.2948,1.05
138.0,3.2948,1.05
139.0,3.2948,1.05
140.0,3.2948,1.05
141.0,3.2948,1.05
142.0,3.2948,1.05
143.0,3.2948,1.05
144.0,3.2948,1.05
145.0,3.2948,1.05
146.0,3.2948,1.05
147.0,3.2948,1.05
148.0,3.2948,1.05
149.0,3.2948,1.05
150.0,3.2948,1.05
