tenor,real_rf,market_erp,idiosyncratic,company_erp,real_coe
1.0,0.012100000,0.039555000,0.037434915,0.076989915,0.089089915
2.0,0.016605000,0.043171000,0.042927302,0.086098302,0.102703302
3.0,0.021115000,0.044934000,0.051339902,0.096273902,0.117388902
4.0,0.025630000,0.043041000,0.051318474,0.094359474,0.119989474
5.0,0.030150000,0.042254000,0.05120418,0.093458180,0.123608180
6.0,0.024465000,0.039884000,0.051003544,0.090887544,0.115352544
7.0,0.025586000,0.037909000,0.050714774,0.088623774,0.114209774
8.0,0.026709000,0.035086000,0.050331447,0.085417447,0.112126447
9.0,0.027831000,0.032702000,0.049844479,0.082546479,0.110377479
10.0,0.028954000,0.030289000,0.049246665,0.079535665,0.108489665
11.0,0.027977000,0.029795000,0.048531774,0.078326774,0.106303774
12.0,0.028719000,0.027725000,0.047696092,0.075421092,0.104140092
13.0,0.029460000,0.025733000,0.046737273,0.072470273,0.101930273
14.0,0.030202000,0.023855000,0.045657146,0.069512146,0.099714146
15.0,0.030944000,0.022125000,0.044457136,0.066582136,0.097526136
16.0,0.031686000,0.020422000,0.043141631,0.063563631,0.095249631
17.0,0.032428000,0.019162000,0.041714721,0.060876721,0.093304721
18.0,0.033170000,0.018136000,0.040180703,0.058316703,0.091486703
19.0,0.033913000,0.017357000,0.038542755,0.055899755,0.089812755
20.0,0.034655000,0.016840000,0.03680593,0.053645930,0.088300930
21.0,0.032019000,0.020673000,0.034973815,0.055646815,0.087665815
22.0,0.032440000,0.020693000,0.033048604,0.053741604,0.086181604
23.0,0.032861000,0.020768000,0.031035276,0.051803276,0.084664276
24.0,0.033282000,0.020897000,0.028933408,0.049830408,0.083112408
25.0,0.033703000,0.021076000,0.026748574,0.047824574,0.081527574
26.0,0.034124000,0.021337000,0.024481105,0.045818105,0.079942105
27.0,0.034545000,0.021597000,0.02213418,0.043731180,0.078276180
28.0,0.034966000,0.021890000,0.019709542,0.041599542,0.076565542
29.0,0.035387000,0.022213000,0.017207652,0.039420652,0.074807652
30.0,0.035809000,0.022565000,0.014630522,0.037195522,0.073004522
31.0,0.030703934,0.016100366,0.014630522,0.030730889,0.061434823
32.0,0.030703934,0.016100366,0.014630522,0.030730889,0.061434823
33.0,0.030703934,0.016100366,0.014630522,0.030730889,0.061434823
34.0,0.030703934,0.016100366,0.014630522,0.030730889,0.061434823
35.0,0.030703934,0.016100366,0.014630522,0.030730889,0.061434823
36.0,0.030703934,0.016100366,0.014630522,0.030730889,0.061434823
37.0,0.030703934,0.016100366,0.014630522,0.030730889,0.061434823
38.0,0.030703934,0.016100366,0.014630522,0.030730889,0.061434823
39.0,0.030703934,0.016100366,0.014630522,0.030730889,0.061434823
40.0,0.030703934,0.016100366,0.014630522,0.030730889,0.061434823
41.0,0.030703934,0.016100366,0.014710479,0.030810846,0.06151478
42.0,0.030703934,0.016100366,0.014946064,0.03104643,0.061750365
43.0,0.030703934,0.016100366,0.015330893,0.031431259,0.062135193
44.0,0.030703934,0.016100366,0.015858637,0.031959004,0.062662938
45.0,0.030703934,0.016100366,0.016523017,0.032623383,0.063327317
46.0,0.030703934,0.016100366,0.017317787,0.033418153,0.064122088
47.0,0.030703934,0.016100366,0.018236735,0.034337102,0.065041036
48.0,0.030703934,0.016100366,0.019273671,0.035374038,0.066077972
49.0,0.030703934,0.016100366,0.02042242,0.036522786,0.06722672
50.0,0.030703934,0.016100366,0.021676814,0.03777718,0.068481114
51.0,0.030703934,0.016100366,0.023030689,0.039131055,0.06983499
52.0,0.030703934,0.016100366,0.024477877,0.040578243,0.071282177
53.0,0.030703934,0.016100366,0.026012198,0.042112565,0.072816499
54.0,0.030703934,0.016100366,0.02762746,0.043727827,0.074431761
