tenor,real_rf,market_erp,idiosyncratic,company_erp,real_coe
1.0,0.013100000,0.039688000,0.015811945,0.055499945,0.068599945
2.0,0.017405000,0.043527000,0.018485544,0.062012544,0.079417544
3.0,0.021714000,0.045405000,0.024243943,0.069648943,0.091362943
4.0,0.026027000,0.046816000,0.024233373,0.071049373,0.097076373
5.0,0.030345000,0.048101000,0.024178762,0.072279762,0.102624762
6.0,0.024824000,0.047609000,0.024082638,0.071691638,0.096515638
7.0,0.025866000,0.047553000,0.023944622,0.071497622,0.097363622
8.0,0.026907000,0.046303000,0.023760976,0.070063976,0.096970976
9.0,0.027950000,0.045427000,0.023528991,0.068955991,0.096905991
10.0,0.028992000,0.044300000,0.023244579,0.067544579,0.096536579
11.0,0.028157000,0.042922000,0.022904312,0.065826312,0.093983312
12.0,0.028858000,0.041297000,0.022507132,0.063804132,0.092662132
13.0,0.029559000,0.039471000,0.022051735,0.061522735,0.091081735
14.0,0.030261000,0.037459000,0.021538292,0.058997292,0.089258292
15.0,0.030963000,0.035277000,0.020967771,0.056244771,0.087207771
16.0,0.031664000,0.032638000,0.020342152,0.052980152,0.084644152
17.0,0.032366000,0.030353000,0.019662328,0.050015328,0.082381328
18.0,0.033068000,0.028008000,0.018931211,0.046939211,0.080007211
19.0,0.033770000,0.025623000,0.018149807,0.043772807,0.077542807
20.0,0.034473000,0.023220000,0.017320972,0.040540972,0.075013972
21.0,0.032219000,0.023276000,0.016445872,0.039721872,0.071940872
22.0,0.032640000,0.022585000,0.015526046,0.038111046,0.070751046
23.0,0.033061000,0.021933000,0.014562774,0.036495774,0.069556774
24.0,0.033482000,0.021316000,0.013557278,0.034873278,0.068355278
25.0,0.033903000,0.020731000,0.012510649,0.033241649,0.067144649
26.0,0.034324000,0.020624000,0.011424369,0.032048369,0.066372369
27.0,0.034745000,0.020221000,0.010298448,0.030519448,0.065264448
28.0,0.035166000,0.019840000,0.009134522,0.028974522,0.064140522
29.0,0.035587000,0.019479000,0.007932269,0.027411269,0.062998269
30.0,0.036009000,0.019136000,0.006692945,0.025828945,0.061837945
31.0,0.031008037,0.016105117,0.006692945,0.022798061,0.053806098
32.0,0.031008037,0.016105117,0.006692945,0.022798061,0.053806098
33.0,0.031008037,0.016105117,0.006692945,0.022798061,0.053806098
34.0,0.031008037,0.016105117,0.006692945,0.022798061,0.053806098
35.0,0.031008037,0.016105117,0.006692945,0.022798061,0.053806098
36.0,0.031008037,0.016105117,0.006692945,0.022798061,0.053806098
37.0,0.031008037,0.016105117,0.006692945,0.022798061,0.053806098
38.0,0.031008037,0.016105117,0.006692945,0.022798061,0.053806098
39.0,0.031008037,0.016105117,0.006692945,0.022798061,0.053806098
40.0,0.031008037,0.016105117,0.006692945,0.022798061,0.053806098
41.0,0.031008037,0.016105117,0.006781696,0.022886813,0.053894849
42.0,0.031008037,0.016105117,0.007043196,0.023148313,0.054156349
43.0,0.031008037,0.016105117,0.007470372,0.023575489,0.054583525
44.0,0.031008037,0.016105117,0.00805622,0.024161337,0.055169374
45.0,0.031008037,0.016105117,0.008793795,0.024898912,0.055906949
46.0,0.031008037,0.016105117,0.009676198,0.025781315,0.056789351
47.0,0.031008037,0.016105117,0.010696568,0.026801685,0.057809722
48.0,0.031008037,0.016105117,0.011848072,0.027953189,0.058961226
49.0,0.031008037,0.016105117,0.013123897,0.029229014,0.060237051
50.0,0.031008037,0.016105117,0.01451724,0.030622356,0.061630393
