tenor,real_rf,market_erp,idiosyncratic,company_erp,real_coe
1.0,2.0168,3.2964,1.5305,4.8269,6.8437
2.0,2.0641,4.1882,1.2273,5.4155,7.4796
3.0,2.1123,5.4099,1.5854,6.9953,9.1076
4.0,2.1731,5.4046,1.5838,6.9884,9.1615
5.0,2.2613,5.3887,1.5791,6.9678,9.2291
6.0,2.3879,5.3622,1.5714,6.9336,9.3215
7.0,2.5502,5.3252,1.5605,6.8857,9.4359
8.0,2.7376,5.2775,1.5466,6.8241,9.5617
9.0,2.9356,5.2193,1.5295,6.7488,9.6844
10.0,3.1294,5.1505,1.5093,6.6598,9.7892
11.0,3.3062,5.071,1.486,6.557,9.8632
12.0,3.4562,4.981,1.4597,6.4407,9.8969
13.0,3.5738,4.8804,1.4302,6.3106,9.8844
14.0,3.6569,4.7692,1.3976,6.1668,9.8237
15.0,3.7063,4.6474,1.3619,6.0093,9.7156
16.0,3.7248,4.5151,1.3231,5.8382,9.563
17.0,3.7166,4.3721,1.2812,5.6533,9.3699
18.0,3.6865,4.2186,1.2362,5.4548,9.1413
19.0,3.6394,4.0544,1.1881,5.2425,8.8819
20.0,3.5804,3.8797,1.1369,5.0166,8.597
21.0,3.5135,3.6944,1.0826,4.777,8.2905
22.0,3.4426,3.4985,1.0252,4.5237,7.9663
23.0,3.3705,3.292,0.9647,4.2567,7.6272
24.0,3.3001,3.0749,0.9011,3.976,7.2761
25.0,3.234,2.8472,0.8344,3.6816,6.9156
26.0,3.175,2.609,0.7646,3.3736,6.5486
27.0,3.1259,2.3601,0.6916,3.0517,6.1776
28.0,3.0888,2.1007,0.6156,2.7163,5.8051
29.0,3.065,1.8306,0.5365,2.3671,5.4321
30.0,3.0537,1.55,0.4542,2.0042,5.0579
31.0,3.0537,1.55,0.4542,2.0042,5.0579
32.0,3.0537,1.55,0.4542,2.0042,5.0579
33.0,3.0537,1.55,0.4542,2.0042,5.0579
34.0,3.0537,1.55,0.4542,2.0042,5.0579
35.0,3.0537,1.55,0.4542,2.0042,5.0579
36.0,3.0537,1.55,0.4542,2.0042,5.0579
37.0,3.0537,1.55,0.4542,2.0042,5.0579
38.0,3.0537,1.55,0.4542,2.0042,5.0579
39.0,3.0537,1.55,0.4542,2.0042,5.0579
40.0,3.0537,1.55,0.4542,2.0042,5.0579
41.0,3.0537,1.55,0.4629,2.0129,5.0666
42.0,3.0537,1.55,0.4883,2.0383,5.092
43.0,3.0537,1.55,0.5299,2.0799,5.1336
44.0,3.0537,1.55,0.5868,2.1368,5.1905
45.0,3.0537,1.55,0.6585,2.2085,5.2622
46.0,3.0537,1.55,0.7442,2.2942,5.3479
47.0,3.0537,1.55,0.8432,2.3932,5.4469
48.0,3.0537,1.55,0.9548,2.5048,5.5585
49.0,3.0537,1.55,1.0783,2.6283,5.682
50.0,3.0537,1.55,1.213,2.763,5.8167
51.0,3.0537,1.55,1.3582,2.9082,5.9619
52.0,3.0537,1.55,1.5132,3.0632,6.1169
