tenor,real_rf,market_erp
1.0,0.019690991,0.040024000
2.0,0.020832541,0.043953000
3.0,0.021999166,0.045784000
4.0,0.023186871,0.043556000
5.0,0.024396717,0.042380000
6.0,0.025756555,0.040217000
7.0,0.026790625,0.038170000
8.0,0.027368339,0.035240000
9.0,0.028010327,0.032738000
10.0,0.028511358,0.030182000
11.0,0.029034950,0.029850000
12.0,0.029686851,0.027734000
13.0,0.030289168,0.025675000
14.0,0.030852026,0.023707000
15.0,0.031344845,0.021861000
16.0,0.031808296,0.019964000
17.0,0.032177172,0.018538000
18.0,0.032530876,0.017334000
19.0,0.032780760,0.016372000
20.0,0.032975700,0.015675000
21.0,0.033244065,0.020121000
22.0,0.033565487,0.019993000
23.0,0.033839074,0.019918000
24.0,0.034085194,0.019896000
25.0,0.034278348,0.019926000
26.0,0.034387941,0.020030000
27.0,0.034433342,0.020163000
28.0,0.034467572,0.020341000
29.0,0.034376461,0.020566000
30.0,0.034239560,0.020839000
