tenor,real_rf,market_erp,idiosyncratic,company_erp,real_coe
1.0,2.0074,3.3599,2.3638,5.7237,7.7311
2.0,2.0548,4.4059,3.1084,7.5143,9.5691
3.0,2.1032,5.206,3.6729,8.8789,10.9821
4.0,2.1648,5.201,3.6693,8.8703,11.0351
5.0,2.2545,5.1859,3.6587,8.8446,11.0991
6.0,2.3835,5.1608,3.641,8.8018,11.1853
7.0,2.5491,5.1257,3.6162,8.7419,11.291
8.0,2.7396,5.0806,3.5844,8.665,11.4046
9.0,2.9399,5.0254,3.5455,8.5709,11.5108
10.0,3.1338,4.9602,3.4995,8.4597,11.5935
11.0,3.3083,4.885,3.4464,8.3314,11.6397
12.0,3.4545,4.7998,3.3863,8.1861,11.6406
13.0,3.5675,4.7045,3.3191,8.0236,11.5911
14.0,3.6458,4.5992,3.2448,7.844,11.4898
15.0,3.6909,4.4838,3.1633,7.6471,11.338
16.0,3.7057,4.3584,3.0749,7.4333,11.139
17.0,3.6946,4.223,2.9794,7.2024,10.897
18.0,3.6625,4.0776,2.8768,6.9544,10.6169
19.0,3.6143,3.9221,2.7671,6.6892,10.3035
20.0,3.5547,3.7566,2.6503,6.4069,9.9616
21.0,3.4877,3.5811,2.5265,6.1076,9.5953
22.0,3.4167,3.3955,2.3955,5.791,9.2077
23.0,3.3447,3.2,2.2576,5.4576,8.8023
24.0,3.2742,2.9943,2.1125,5.1068,8.381
25.0,3.2079,2.7787,1.9604,4.7391,7.947
26.0,3.1485,2.553,1.8012,4.3542,7.5027
27.0,3.0989,2.3173,1.6349,3.9522,7.0511
28.0,3.0611,2.0716,1.4615,3.5331,6.5942
29.0,3.0364,1.8158,1.2811,3.0969,6.1333
30.0,3.0242,1.55,1.0935,2.6435,5.6677
31.0,3.0242,1.55,1.0935,2.6435,5.6677
32.0,3.0242,1.55,1.0935,2.6435,5.6677
33.0,3.0242,1.55,1.0935,2.6435,5.6677
34.0,3.0242,1.55,1.0935,2.6435,5.6677
35.0,3.0242,1.55,1.0935,2.6435,5.6677
36.0,3.0242,1.55,1.0935,2.6435,5.6677
37.0,3.0242,1.55,1.0935,2.6435,5.6677
38.0,3.0242,1.55,1.0935,2.6435,5.6677
39.0,3.0242,1.55,1.0935,2.6435,5.6677
40.0,3.0242,1.55,1.0935,2.6435,5.6677
41.0,3.0242,1.55,1.1014,2.6514,5.6756
42.0,3.0242,1.55,1.1246,2.6746,5.6988
43.0,3.0242,1.55,1.1625,2.7125,5.7367
44.0,3.0242,1.55,1.2145,2.7645,5.7887
45.0,3.0242,1.55,1.2799,2.8299,5.8541
46.0,3.0242,1.55,1.3581,2.9081,5.9323
47.0,3.0242,1.55,1.4484,2.9984,6.0226
48.0,3.0242,1.55,1.5502,3.1002,6.1244
49.0,3.0242,1.55,1.6629,3.2129,6.2371
50.0,3.0242,1.55,1.7858,3.3358,6.36
51.0,3.0242,1.55,1.9183,3.4683,6.4925
52.0,3.0242,1.55,2.0597,3.6097,6.6339
53.0,3.0242,1.55,2.2095,3.7595,6.7837
54.0,3.0242,1.55,2.3669,3.9169,6.9411
55.0,3.0242,1.55,2.5313,4.0813,7.1055
56.0,3.0242,1.55,2.7022,4.2522,7.2764
57.0,3.0242,1.55,2.8787,4.4287,7.4529
58.0,3.0242,1.55,3.0604,4.6104,7.6346
59.0,3.0242,1.55,3.2466,4.7966,7.8208
60.0,3.0242,1.55,3.4366,4.9866,8.0108
61.0,3.0242,1.55,3.6298,5.1798,8.204
62.0,3.0242,1.55,3.8256,5.3756,8.3998
63.0,3.0242,1.55,4.0232,5.5732,8.5974
64.0,3.0242,1.55,4.2222,5.7722,8.7964
65.0,3.0242,1.55,4.4218,5.9718,8.996
66.0,3.0242,1.55,4.6214,6.1714,9.1956
67.0,3.0242,1.55,4.8203,6.3703,9.3945
68.0,3.0242,1.55,5.018,6.568,9.5922
69.0,3.0242,1.55,5.2137,6.7637,9.7879
70.0,3.0242,1.55,5.4069,6.9569,9.9811
71.0,3.0242,1.55,5.5969,7.1469,10.1711
72.0,3.0242,1.55,5.7831,7.3331,10.3573
73.0,3.0242,1.55,5.9648,7.5148,10.539
74.0,3.0242,1.55,6.1414,7.6914,10.7156
75.0,3.0242,1.55,6.3122,7.8622,10.8864
76.0,3.0242,1.55,6.4766,8.0266,11.0508
77.0,3.0242,1.55,6.6341,8.1841,11.2083
78.0,3.0242,1.55,6.7838,8.3338,11.358
79.0,3.0242,1.55,6.9252,8.4752,11.4994
80.0,3.0242,1.55,7.0577,8.6077,11.6319
81.0,3.0242,1.55,7.1806,8.7306,11.7548
82.0,3.0242,1.55,7.2933,8.8433,11.8675
83.0,3.0242,1.55,7.3951,8.9451,11.9693
84.0,3.0242,1.55,7.4854,9.0354,12.0596
85.0,3.0242,1.55,7.5636,9.1136,12.1378
86.0,3.0242,1.55,7.629,9.179,12.2032
87.0,3.0242,1.55,7.681,9.231,12.2552
88.0,3.0242,1.55,7.7189,9.2689,12.2931
89.0,3.0242,1.55,7.7421,9.2921,12.3163
90.0,3.0242,1.55,7.75,9.3,12.3242
91.0,3.0242,1.55,7.75,9.3,12.3242
92.0,3.0242,1.55,7.75,9.3,12.3242
93.0,3.0242,1.55,7.75,9.3,12.3242
94.0,3.0242,1.55,7.75,9.3,12.3242
95.0,3.0242,1.55,7.75,9.3,12.3242
96.0,3.0242,1.55,7.75,9.3,12.3242
97.0,3.0242,1.55,7.75,9.3,12.3242
98.0,3.0242,1.55,7.75,9.3,12.3242
99.0,3.0242,1.55,7.75,9.3,12.3242
100.0,3.0242,1.55,7.75,9.3,12.3242
101.0,3.0242,1.55,7.75,9.3,12.3242
102.0,3.0242,1.55,7.75,9.3,12.3242
103.0,3.0242,1.55,7.75,9.3,12.3242
104.0,3.0242,1.55,7.75,9.3,12.3242
105.0,3.0242,1.55,7.75,9.3,12.3242
106.0,3.0242,1.55,7.75,9.3,12.3242
107.0,3.0242,1.55,7.75,9.3,12.3242
108.0,3.0242,1.55,7.75,9.3,12.3242
109.0,3.0242,1.55,7.75,9.3,12.3242
110.0,3.0242,1.55,7.75,9.3,12.3242
111.0,3.0242,1.55,7.75,9.3,12.3242
112.0,3.0242,1.55,7.75,9.3,12.3242
113.0,3.0242,1.55,7.75,9.3,12.3242
114.0,3.0242,1.55,7.75,9.3,12.3242
115.0,3.0242,1.55,7.75,9.3,12.3242
116.0,3.0242,1.55,7.75,9.3,12.3242
117.0,3.0242,1.55,7.75,9.3,12.3242
118.0,3.0242,1.55,7.75,9.3,12.3242
119.0,3.0242,1.55,7.75,9.3,12.3242
