tenor,real_rf,market_erp,idiosyncratic,company_erp,real_coe
1.0,2.0168,3.2964,4.3311,7.6275,9.6443
2.0,2.0641,4.1882,5.3458,9.534,11.5981
3.0,2.1123,5.4099,6.9052,12.3151,14.4274
4.0,2.1731,5.4046,6.8984,12.303,14.4761
5.0,2.2613,5.3887,6.8781,12.2668,14.5281
6.0,2.3879,5.3622,6.8443,12.2065,14.5944
7.0,2.5502,5.3252,6.7971,12.1223,14.6725
8.0,2.7376,5.2775,6.7362,12.0137,14.7513
9.0,2.9356,5.2193,6.6619,11.8812,14.8168
10.0,3.1294,5.1505,6.5741,11.7246,14.854
11.0,3.3062,5.071,6.4726,11.5436,14.8498
12.0,3.4562,4.981,6.3578,11.3388,14.795
13.0,3.5738,4.8804,6.2294,11.1098,14.6836
14.0,3.6569,4.7692,6.0874,10.8566,14.5135
15.0,3.7063,4.6474,5.932,10.5794,14.2857
16.0,3.7248,4.5151,5.7631,10.2782,14.003
17.0,3.7166,4.3721,5.5806,9.9527,13.6693
18.0,3.6865,4.2186,5.3846,9.6032,13.2897
19.0,3.6394,4.0544,5.175,9.2294,12.8688
20.0,3.5804,3.8797,4.9521,8.8318,12.4122
21.0,3.5135,3.6944,4.7155,8.4099,11.9234
22.0,3.4426,3.4985,4.4655,7.964,11.4066
23.0,3.3705,3.292,4.2019,7.4939,10.8644
24.0,3.3001,3.0749,3.9248,6.9997,10.2998
25.0,3.234,2.8472,3.6342,6.4814,9.7154
26.0,3.175,2.609,3.3301,5.9391,9.1141
27.0,3.1259,2.3601,3.0124,5.3725,8.4984
28.0,3.0888,2.1007,2.6813,4.782,7.8708
29.0,3.065,1.8306,2.3366,4.1672,7.2322
30.0,3.0537,1.55,1.9784,3.5284,6.5821
31.0,3.0537,1.55,1.9784,3.5284,6.5821
32.0,3.0537,1.55,1.9784,3.5284,6.5821
33.0,3.0537,1.55,1.9784,3.5284,6.5821
34.0,3.0537,1.55,1.9784,3.5284,6.5821
35.0,3.0537,1.55,1.9784,3.5284,6.5821
36.0,3.0537,1.55,1.9784,3.5284,6.5821
37.0,3.0537,1.55,1.9784,3.5284,6.5821
38.0,3.0537,1.55,1.9784,3.5284,6.5821
39.0,3.0537,1.55,1.9784,3.5284,6.5821
40.0,3.0537,1.55,1.9784,3.5284,6.5821
41.0,3.0537,1.55,1.9853,3.5353,6.589
42.0,3.0537,1.55,2.0054,3.5554,6.6091
43.0,3.0537,1.55,2.0383,3.5883,6.642
44.0,3.0537,1.55,2.0833,3.6333,6.687
45.0,3.0537,1.55,2.14,3.69,6.7437
46.0,3.0537,1.55,2.2078,3.7578,6.8115
47.0,3.0537,1.55,2.2861,3.8361,6.8898
48.0,3.0537,1.55,2.3744,3.9244,6.9781
49.0,3.0537,1.55,2.4721,4.0221,7.0758
50.0,3.0537,1.55,2.5787,4.1287,7.1824
51.0,3.0537,1.55,2.6935,4.2435,7.2972
52.0,3.0537,1.55,2.8162,4.3662,7.4199
53.0,3.0537,1.55,2.946,4.496,7.5497
54.0,3.0537,1.55,3.0825,4.6325,7.6862
55.0,3.0537,1.55,3.2251,4.7751,7.8288
56.0,3.0537,1.55,3.3732,4.9232,7.9769
57.0,3.0537,1.55,3.5263,5.0763,8.13
58.0,3.0537,1.55,3.6839,5.2339,8.2876
59.0,3.0537,1.55,3.8453,5.3953,8.449
60.0,3.0537,1.55,4.01,5.56,8.6137
61.0,3.0537,1.55,4.1775,5.7275,8.7812
62.0,3.0537,1.55,4.3473,5.8973,8.951
63.0,3.0537,1.55,4.5187,6.0687,9.1224
64.0,3.0537,1.55,4.6912,6.2412,9.2949
65.0,3.0537,1.55,4.8642,6.4142,9.4679
66.0,3.0537,1.55,5.0373,6.5873,9.641
67.0,3.0537,1.55,5.2098,6.7598,9.8135
