tenor,real_rf,market_erp
1.0,2.1208,3.1099
2.0,2.2255,3.8869
3.0,2.3272,5.6033
4.0,2.4288,5.5971
5.0,2.5361,5.5782
6.0,2.6545,5.5469
7.0,2.7856,5.503
8.0,2.9264,5.4465
9.0,3.0703,5.3775
10.0,3.2094,5.2959
11.0,3.3361,5.2018
12.0,3.4441,5.0952
13.0,3.5294,4.976
14.0,3.5907,4.8442
15.0,3.629,4.7
16.0,3.6476,4.5431
17.0,3.651,4.3737
18.0,3.645,4.1918
19.0,3.6352,3.9973
20.0,3.6263,3.7903
21.0,3.6205,3.5707
22.0,3.6166,3.3386
23.0,3.6149,3.094
24.0,3.6157,2.8367
25.0,3.6194,2.567
26.0,3.6266,2.2847
27.0,3.638,1.9898
28.0,3.6541,1.6824
29.0,3.6753,1.3625
30.0,3.7012,1.03
31.0,3.7012,1.03
32.0,3.7012,1.03
33.0,3.7012,1.03
34.0,3.7012,1.03
35.0,3.7012,1.03
36.0,3.7012,1.03
37.0,3.7012,1.03
38.0,3.7012,1.03
39.0,3.7012,1.03
40.0,3.7012,1.03
41.0,3.7012,1.03
42.0,3.7012,1.03
43.0,3.7012,1.03
44.0,3.7012,1.03
45.0,3.7012,1.03
46.0,3.7012,1.03
47.0,3.7012,1.03
48.0,3.7012,1.03
49.0,3.7012,1.03
50.0,3.7012,1.03
51.0,3.7012,1.03
52.0,3.7012,1.03
53.0,3.7012,1.03
54.0,3.7012,1.03
55.0,3.7012,1.03
56.0,3.7012,1.03
57.0,3.7012,1.03
58.0,3.7012,1.03
59.0,3.7012,1.03
60.0,3.7012,1.03
61.0,3.7012,1.03
62.0,3.7012,1.03
63.0,3.7012,1.03
64.0,3.7012,1.03
65.0,3.7012,1.03
66.0,3.7012,1.03
67.0,3.7012,1.03
68.0,3.7012,1.03
69.0,3.7012,1.03
70.0,3.7012,1.03
71.0,3.7012,1.03
72.0,3.7012,1.03
73.0,3.7012,1.03
74.0,3.7012,1.03
75.0,3.7012,1.03
76.0,3.7012,1.03
77.0,3.7012,1.03
78.0,3.7012,1.03
79.0,3.7012,1.03
80.0,3.7012,1.03
81.0,3.7012,1.03
82.0,3.7012,1.03
83.0,3.7012,1.03
84.0,3.7012,1.03
85.0,3.7012,1.03
86.0,3.7012,1.03
87.0,3.7012,1.03
88.0,3.7012,1.03
89.0,3.7012,1.03
90.0,3.7012,1.03
91.0,3.7012,1.03
92.0,3.7012,1.03
93.0,3.7012,1.03
94.0,3.7012,1.03
95.0,3.7012,1.03
96.0,3.7012,1.03
97.0,3.7012,1.03
98.0,3.7012,1.03
99.0,3.7012,1.03
100.0,3.7012,1.03
101.0,3.7012,1.03
102.0,3.7012,1.03
103.0,3.7012,1.03
104.0,3.7012,1.03
105.0,3.7012,1.03
106.0,3.7012,1.03
107.0,3.7012,1.03
108.0,3.7012,1.03
109.0,3.7012,1.03
110.0,3.7012,1.03
111.0,3.7012,1.03
112.0,3.7012,1.03
113.0,3.7012,1.03
114.0,3.7012,1.03
115.0,3.7012,1.03
116.0,3.7012,1.03
117.0,3.7012,1.03
118.0,3.7012,1.03
119.0,3.7012,1.03
120.0,3.7012,1.03
121.0,3.7012,1.03
122.0,3.7012,1.03
123.0,3.7012,1.03
124.0,3.7012,1.03
125.0,3.7012,1.03
126.0,3.7012,1.03
127.0,3.7012,1.03
128.0,3.7012,1.03
129.0,3.7012,1.03
130.0,3.7012,1.03
131.0,3.7012,1.03
132.0,3.7012,1.03
133.0,3.7012,1.03
134.0,3.7012,1.03
135.0,3.7012,1.03
136.0,3.7012,1.03
137.0,3.7012,1.03
138.0,3.7012,1.03
139.0,3.7012,1.03
140.0,3.7012,1.03
141.0,3.7012,1.03
142.0,3.7012,1.03
143.0,3.7012,1.03
144.0,3.7012,1.03
145.0,3.7012,1.03
146.0,3.7012,1.03
147.0,3.7012,1.03
148.0,3.7012,1.03
149.0,3.7012,1.03
150.0,3.7012,1.03
