tenor,real_rf,market_erp
1.0,1.9504,3.4199
2.0,2.0148,2.8813
3.0,2.0799,7.9141
4.0,2.1578,7.9047
5.0,2.2623,7.8764
6.0,2.4028,7.8293
7.0,2.5756,7.7633
8.0,2.7692,7.6784
9.0,2.9686,7.5747
10.0,3.1593,7.4521
11.0,3.3299,7.3106
12.0,3.4725,7.1503
13.0,3.5833,6.9712
14.0,3.6619,6.7732
15.0,3.7103,6.5563
16.0,3.7317,6.3205
17.0,3.7307,6.0659
18.0,3.7116,5.7925
19.0,3.6789,5.5002
20.0,3.6365,5.189
21.0,3.5872,4.859
22.0,3.5329,4.5101
23.0,3.476,4.1423
24.0,3.4188,3.7557
25.0,3.3641,3.3502
26.0,3.315,2.9259
27.0,3.2745,2.4827
28.0,3.2456,2.0207
29.0,3.2298,1.5398
30.0,3.2267,1.04
31.0,3.2267,1.04
32.0,3.2267,1.04
33.0,3.2267,1.04
34.0,3.2267,1.04
35.0,3.2267,1.04
36.0,3.2267,1.04
37.0,3.2267,1.04
38.0,3.2267,1.04
39.0,3.2267,1.04
40.0,3.2267,1.04
41.0,3.2267,1.04
42.0,3.2267,1.04
43.0,3.2267,1.04
44.0,3.2267,1.04
45.0,3.2267,1.04
46.0,3.2267,1.04
47.0,3.2267,1.04
48.0,3.2267,1.04
49.0,3.2267,1.04
50.0,3.2267,1.04
51.0,3.2267,1.04
52.0,3.2267,1.04
53.0,3.2267,1.04
54.0,3.2267,1.04
55.0,3.2267,1.04
56.0,3.2267,1.04
57.0,3.2267,1.04
58.0,3.2267,1.04
59.0,3.2267,1.04
60.0,3.2267,1.04
61.0,3.2267,1.04
62.0,3.2267,1.04
63.0,3.2267,1.04
64.0,3.2267,1.04
65.0,3.2267,1.04
66.0,3.2267,1.04
67.0,3.2267,1.04
68.0,3.2267,1.04
69.0,3.2267,1.04
70.0,3.2267,1.04
71.0,3.2267,1.04
72.0,3.2267,1.04
73.0,3.2267,1.04
74.0,3.2267,1.04
75.0,3.2267,1.04
76.0,3.2267,1.04
77.0,3.2267,1.04
78.0,3.2267,1.04
79.0,3.2267,1.04
80.0,3.2267,1.04
81.0,3.2267,1.04
82.0,3.2267,1.04
83.0,3.2267,1.04
84.0,3.2267,1.04
85.0,3.2267,1.04
86.0,3.2267,1.04
87.0,3.2267,1.04
88.0,3.2267,1.04
89.0,3.2267,1.04
90.0,3.2267,1.04
91.0,3.2267,1.04
92.0,3.2267,1.04
93.0,3.2267,1.04
94.0,3.2267,1.04
95.0,3.2267,1.04
96.0,3.2267,1.04
97.0,3.2267,1.04
98.0,3.2267,1.04
99.0,3.2267,1.04
100.0,3.2267,1.04
101.0,3.2267,1.04
102.0,3.2267,1.04
103.0,3.2267,1.04
104.0,3.2267,1.04
105.0,3.2267,1.04
106.0,3.2267,1.04
107.0,3.2267,1.04
108.0,3.2267,1.04
109.0,3.2267,1.04
110.0,3.2267,1.04
111.0,3.2267,1.04
112.0,3.2267,1.04
113.0,3.2267,1.04
114.0,3.2267,1.04
115.0,3.2267,1.04
116.0,3.2267,1.04
117.0,3.2267,1.04
118.0,3.2267,1.04
119.0,3.2267,1.04
120.0,3.2267,1.04
121.0,3.2267,1.04
122.0,3.2267,1.04
123.0,3.2267,1.04
124.0,3.2267,1.04
125.0,3.2267,1.04
126.0,3.2267,1.04
127.0,3.2267,1.04
128.0,3.2267,1.04
129.0,3.2267,1.04
130.0,3.2267,1.04
131.0,3.2267,1.04
132.0,3.2267,1.04
133.0,3.2267,1.04
134.0,3.2267,1.04
135.0,3.2267,1.04
136.0,3.2267,1.04
137.0,3.2267,1.04
138.0,3.2267,1.04
139.0,3.2267,1.04
140.0,3.2267,1.04
141.0,3.2267,1.04
142.0,3.2267,1.04
143.0,3.2267,1.04
144.0,3.2267,1.04
145.0,3.2267,1.04
146.0,3.2267,1.04
147.0,3.2267,1.04
148.0,3.2267,1.04
149.0,3.2267,1.04
150.0,3.2267,1.04
