tenor,real_rf,market_erp,idiosyncratic,company_erp,real_coe
1.0,2.0965,3.4585,5.1663,8.6248,10.7213
2.0,2.1298,4.4132,5.9034,10.3166,12.4464
3.0,2.1637,5.665,7.5779,13.2429,15.4066
4.0,2.2094,5.6593,7.5703,13.2296,15.439
5.0,2.2805,5.6424,7.5477,13.1901,15.4706
6.0,2.3874,5.6143,7.5101,13.1244,15.5118
7.0,2.5309,5.5749,7.4574,13.0323,15.5632
8.0,2.7024,5.5242,7.3895,12.9137,15.6161
9.0,2.8869,5.4622,7.3066,12.7688,15.6557
10.0,3.0681,5.389,7.2087,12.5977,15.6658
11.0,3.2323,5.3046,7.0958,12.4004,15.6327
12.0,3.3693,5.2089,6.9678,12.1767,15.546
13.0,3.4732,5.1019,6.8246,11.9265,15.3997
14.0,3.5428,4.9836,6.6664,11.65,15.1928
15.0,3.5799,4.8541,6.4932,11.3473,14.9272
16.0,3.5887,4.7133,6.3048,11.0181,14.6068
17.0,3.5747,4.5613,6.1015,10.6628,14.2375
18.0,3.5436,4.398,5.8831,10.2811,13.8247
19.0,3.5007,4.2234,5.6495,9.8729,13.3736
20.0,3.4505,4.0376,5.401,9.4386,12.8891
21.0,3.3954,3.8405,5.1373,8.9778,12.3732
22.0,3.3363,3.6322,4.8587,8.4909,11.8272
23.0,3.2748,3.4126,4.5649,7.9775,11.2523
24.0,3.2129,3.1817,4.2561,7.4378,10.6507
25.0,3.1532,2.9396,3.9322,6.8718,10.025
26.0,3.0985,2.6862,3.5932,6.2794,9.3779
27.0,3.0517,2.4215,3.2392,5.6607,8.7124
28.0,3.0155,2.1456,2.8701,5.0157,8.0312
29.0,2.9916,1.8584,2.4859,4.3443,7.3359
30.0,2.9799,1.56,2.0868,3.6468,6.6267
31.0,2.9799,1.56,2.0868,3.6468,6.6267
32.0,2.9799,1.56,2.0868,3.6468,6.6267
33.0,2.9799,1.56,2.0868,3.6468,6.6267
34.0,2.9799,1.56,2.0868,3.6468,6.6267
35.0,2.9799,1.56,2.0868,3.6468,6.6267
36.0,2.9799,1.56,2.0868,3.6468,6.6267
37.0,2.9799,1.56,2.0868,3.6468,6.6267
38.0,2.9799,1.56,2.0868,3.6468,6.6267
39.0,2.9799,1.56,2.0868,3.6468,6.6267
40.0,2.9799,1.56,2.0868,3.6468,6.6267
41.0,2.9799,1.56,2.0935,3.6535,6.6334
42.0,2.9799,1.56,2.1135,3.6735,6.6534
43.0,2.9799,1.56,2.146,3.706,6.6859
44.0,2.9799,1.56,2.1906,3.7506,6.7305
45.0,2.9799,1.56,2.2467,3.8067,6.7866
46.0,2.9799,1.56,2.3138,3.8738,6.8537
47.0,2.9799,1.56,2.3913,3.9513,6.9312
48.0,2.9799,1.56,2.4787,4.0387,7.0186
49.0,2.9799,1.56,2.5754,4.1354,7.1153
50.0,2.9799,1.56,2.6809,4.2409,7.2208
51.0,2.9799,1.56,2.7947,4.3547,7.3346
52.0,2.9799,1.56,2.9161,4.4761,7.456
53.0,2.9799,1.56,3.0446,4.6046,7.5845
54.0,2.9799,1.56,3.1797,4.7397,7.7196
55.0,2.9799,1.56,3.3208,4.8808,7.8607
56.0,2.9799,1.56,3.4674,5.0274,8.0073
57.0,2.9799,1.56,3.619,5.179,8.1589
58.0,2.9799,1.56,3.775,5.335,8.3149
59.0,2.9799,1.56,3.9347,5.4947,8.4746
60.0,2.9799,1.56,4.0978,5.6578,8.6377
61.0,2.9799,1.56,4.2636,5.8236,8.8035
62.0,2.9799,1.56,4.4317,5.9917,8.9716
63.0,2.9799,1.56,4.6013,6.1613,9.1412
64.0,2.9799,1.56,4.7721,6.3321,9.312
65.0,2.9799,1.56,4.9434,6.5034,9.4833
66.0,2.9799,1.56,5.1147,6.6747,9.6546
67.0,2.9799,1.56,5.2854,6.8454,9.8253
68.0,2.9799,1.56,5.4551,7.0151,9.995
69.0,2.9799,1.56,5.6231,7.1831,10.163
70.0,2.9799,1.56,5.7889,7.3489,10.3288
71.0,2.9799,1.56,5.952,7.512,10.4919
72.0,2.9799,1.56,6.1118,7.6718,10.6517
73.0,2.9799,1.56,6.2678,7.8278,10.8077
74.0,2.9799,1.56,6.4193,7.9793,10.9592
75.0,2.9799,1.56,6.5659,8.1259,11.1058
76.0,2.9799,1.56,6.7071,8.2671,11.247
77.0,2.9799,1.56,6.8422,8.4022,11.3821
78.0,2.9799,1.56,6.9707,8.5307,11.5106
79.0,2.9799,1.56,7.0921,8.6521,11.632
80.0,2.9799,1.56,7.2058,8.7658,11.7457
81.0,2.9799,1.56,7.3113,8.8713,11.8512
82.0,2.9799,1.56,7.408,8.968,11.9479
