tenor,real_rf,market_erp
1.0,1.9758,2.9971
2.0,2.0406,3.8628
3.0,2.1063,5.2159
4.0,2.1828,5.2102
5.0,2.2819,5.1931
6.0,2.4118,5.1645
7.0,2.57,5.1245
8.0,2.7464,5.073
9.0,2.927,5.0102
10.0,3.0981,4.9359
11.0,3.2488,4.8502
12.0,3.3732,4.753
13.0,3.4685,4.6445
14.0,3.5349,4.5244
15.0,3.5744,4.393
16.0,3.5906,4.2502
17.0,3.588,4.0959
18.0,3.571,3.9301
19.0,3.5441,3.753
20.0,3.5112,3.5644
21.0,3.475,3.3644
22.0,3.4372,3.153
23.0,3.3996,2.9301
24.0,3.3636,2.6958
25.0,3.331,2.4501
26.0,3.3035,2.1929
27.0,3.283,1.9243
28.0,3.2709,1.6443
29.0,3.2683,1.3529
30.0,3.2747,1.05
31.0,3.2747,1.05
32.0,3.2747,1.05
33.0,3.2747,1.05
34.0,3.2747,1.05
35.0,3.2747,1.05
36.0,3.2747,1.05
37.0,3.2747,1.05
38.0,3.2747,1.05
39.0,3.2747,1.05
40.0,3.2747,1.05
41.0,3.2747,1.05
42.0,3.2747,1.05
43.0,3.2747,1.05
44.0,3.2747,1.05
45.0,3.2747,1.05
46.0,3.2747,1.05
47.0,3.2747,1.05
48.0,3.2747,1.05
49.0,3.2747,1.05
50.0,3.2747,1.05
51.0,3.2747,1.05
52.0,3.2747,1.05
53.0,3.2747,1.05
54.0,3.2747,1.05
55.0,3.2747,1.05
56.0,3.2747,1.05
57.0,3.2747,1.05
58.0,3.2747,1.05
59.0,3.2747,1.05
60.0,3.2747,1.05
61.0,3.2747,1.05
62.0,3.2747,1.05
63.0,3.2747,1.05
64.0,3.2747,1.05
65.0,3.2747,1.05
66.0,3.2747,1.05
67.0,3.2747,1.05
68.0,3.2747,1.05
69.0,3.2747,1.05
70.0,3.2747,1.05
71.0,3.2747,1.05
72.0,3.2747,1.05
73.0,3.2747,1.05
74.0,3.2747,1.05
75.0,3.2747,1.05
76.0,3.2747,1.05
77.0,3.2747,1.05
78.0,3.2747,1.05
79.0,3.2747,1.05
80.0,3.2747,1.05
81.0,3.2747,1.05
82.0,3.2747,1.05
83.0,3.2747,1.05
84.0,3.2747,1.05
85.0,3.2747,1.05
86.0,3.2747,1.05
87.0,3.2747,1.05
88.0,3.2747,1.05
89.0,3.2747,1.05
90.0,3.2747,1.05
91.0,3.2747,1.05
92.0,3.2747,1.05
93.0,3.2747,1.05
94.0,3.2747,1.05
95.0,3.2747,1.05
96.0,3.2747,1.05
97.0,3.2747,1.05
98.0,3.2747,1.05
99.0,3.2747,1.05
100.0,3.2747,1.05
101.0,3.2747,1.05
102.0,3.2747,1.05
103.0,3.2747,1.05
104.0,3.2747,1.05
105.0,3.2747,1.05
106.0,3.2747,1.05
107.0,3.2747,1.05
108.0,3.2747,1.05
109.0,3.2747,1.05
110.0,3.2747,1.05
111.0,3.2747,1.05
112.0,3.2747,1.05
113.0,3.2747,1.05
114.0,3.2747,1.05
115.0,3.2747,1.05
116.0,3.2747,1.05
117.0,3.2747,1.05
118.0,3.2747,1.05
119.0,3.2747,1.05
120.0,3.2747,1.05
121.0,3.2747,1.05
122.0,3.2747,1.05
123.0,3.2747,1.05
124.0,3.2747,1.05
125.0,3.2747,1.05
126.0,3.2747,1.05
127.0,3.2747,1.05
128.0,3.2747,1.05
129.0,3.2747,1.05
130.0,3.2747,1.05
131.0,3.2747,1.05
132.0,3.2747,1.05
133.0,3.2747,1.05
134.0,3.2747,1.05
135.0,3.2747,1.05
136.0,3.2747,1.05
137.0,3.2747,1.05
138.0,3.2747,1.05
139.0,3.2747,1.05
140.0,3.2747,1.05
141.0,3.2747,1.05
142.0,3.2747,1.05
143.0,3.2747,1.05
144.0,3.2747,1.05
145.0,3.2747,1.05
146.0,3.2747,1.05
147.0,3.2747,1.05
148.0,3.2747,1.05
149.0,3.2747,1.05
150.0,3.2747,1.05
