tenor,real_rf,market_erp,idiosyncratic,company_erp,real_coe
1.0,0.010700000,0.040010000,0.023254503,0.063264503,0.073964503
2.0,0.014784000,0.043499000,0.022069353,0.065568353,0.080352353
3.0,0.018842000,0.045186000,0.019397389,0.064583389,0.083425389
4.0,0.022955000,0.046313000,0.019393813,0.065706813,0.088661813
5.0,0.027051000,0.047270000,0.019360032,0.066630032,0.093681032
6.0,0.022696000,0.046729000,0.019297251,0.066026251,0.088722251
7.0,0.023978000,0.046437000,0.019205713,0.065642713,0.089620713
8.0,0.025261000,0.045210000,0.019083562,0.064293562,0.089554562
9.0,0.026454000,0.044346000,0.018927511,0.063273511,0.089727511
10.0,0.027818000,0.043080000,0.018735218,0.061815218,0.089633218
11.0,0.027996000,0.042149000,0.018504327,0.060653327,0.088649327
12.0,0.029079000,0.040584000,0.018232751,0.058816751,0.087895751
13.0,0.030162000,0.039009000,0.017920255,0.056929255,0.087091255
14.0,0.031246000,0.037365000,0.017566896,0.054931896,0.086177896
15.0,0.032481000,0.035239000,0.017173253,0.052412253,0.084893253
16.0,0.033424000,0.033356000,0.016739908,0.050095908,0.083519908
17.0,0.034509000,0.031322000,0.016268635,0.047590635,0.082099635
18.0,0.035594000,0.029499000,0.0157608,0.045259800,0.080853800
19.0,0.036679000,0.027396000,0.015217232,0.042613232,0.079292232
20.0,0.037764000,0.025373000,0.014639617,0.040012617,0.077776617
21.0,0.027240000,0.022188000,0.014028896,0.036216896,0.063456896
22.0,0.027000000,0.021411000,0.013385299,0.034796299,0.061796299
23.0,0.027190000,0.020294000,0.012710078,0.033004078,0.060194078
24.0,0.026930000,0.019715000,0.012003936,0.031718936,0.058648936
25.0,0.027140000,0.019001000,0.011267571,0.030268571,0.057408571
26.0,0.026860000,0.018896000,0.010501162,0.029397162,0.056257162
27.0,0.027090000,0.018135000,0.00970577,0.027840770,0.054930770
28.0,0.026790000,0.017716000,0.008881856,0.026597856,0.053387856
29.0,0.027040000,0.017378000,0.008029202,0.025407202,0.052447202
30.0,0.026720000,0.017138000,0.007148356,0.024286356,0.051006356
31.0,0.031196728,0.015584543,0.007148356,0.022732898,0.053929627
32.0,0.031196728,0.015584543,0.007148356,0.022732898,0.053929627
33.0,0.031196728,0.015584543,0.007148356,0.022732898,0.053929627
34.0,0.031196728,0.015584543,0.007148356,0.022732898,0.053929627
35.0,0.031196728,0.015584543,0.007148356,0.022732898,0.053929627
36.0,0.031196728,0.015584543,0.007148356,0.022732898,0.053929627
37.0,0.031196728,0.015584543,0.007148356,0.022732898,0.053929627
38.0,0.031196728,0.015584543,0.007148356,0.022732898,0.053929627
39.0,0.031196728,0.015584543,0.007148356,0.022732898,0.053929627
40.0,0.031196728,0.015584543,0.007148356,0.022732898,0.053929627
41.0,0.031196728,0.015584543,0.007148356,0.022732898,0.053929627
42.0,0.031196728,0.015584543,0.007148356,0.022732898,0.053929627
43.0,0.031196728,0.015584543,0.007148356,0.022732898,0.053929627
44.0,0.031196728,0.015584543,0.007148356,0.022732898,0.053929627
45.0,0.031196728,0.015584543,0.007148356,0.022732898,0.053929627
46.0,0.031196728,0.015584543,0.007148356,0.022732898,0.053929627
47.0,0.031196728,0.015584543,0.007148356,0.022732898,0.053929627
48.0,0.031196728,0.015584543,0.007148356,0.022732898,0.053929627
49.0,0.031196728,0.015584543,0.007148356,0.022732898,0.053929627
50.0,0.031196728,0.015584543,0.007148356,0.022732898,0.053929627
51.0,0.031196728,0.015584543,0.007169774,0.022754316,0.053951045
52.0,0.031196728,0.015584543,0.007233456,0.022817998,0.054014727
53.0,0.031196728,0.015584543,0.007338546,0.022923089,0.054119817
54.0,0.031196728,0.015584543,0.007484195,0.023068738,0.054265466
55.0,0.031196728,0.015584543,0.007669557,0.023254099,0.054450828
