maturity,nominal,real,breakeven,exp_inflation,phi,nominal_fwd1y,real_fwd1y,breakeven_fwd1y,exp_inflation_fwd1y,reliability,provenance
1.0,4.1011,2.0317,2.0695,2.3867,-0.3172,4.1011,2.0317,2.0695,2.3867,0.0,front-constructed
2.0,4.1866,2.056,2.1306,2.4354,-0.3048,4.2721,2.0804,2.1917,2.4842,1.0,observed
3.0,4.251,2.0805,2.1706,2.4341,-0.2635,4.3799,2.1294,2.2506,2.4314,1.0,observed
4.0,4.3221,2.108,2.2141,2.4284,-0.2143,4.5352,2.1906,2.3445,2.4112,1.0,observed
5.0,4.3977,2.1422,2.2555,2.4247,-0.1691,4.7001,2.2788,2.4213,2.4099,1.0,observed
6.0,4.4811,2.1859,2.2952,2.4235,-0.1283,4.8983,2.4045,2.4938,2.4178,1.0,observed
7.0,4.5659,2.2401,2.3258,2.4244,-0.0986,5.0745,2.5651,2.5094,2.4299,1.0,observed
8.0,4.6457,2.3038,2.3419,2.4268,-0.0849,5.2046,2.7501,2.4545,2.4436,1.0,observed
9.0,4.7246,2.375,2.3496,2.4303,-0.0807,5.3554,2.9446,2.4107,2.4578,1.0,observed
10.0,4.8015,2.4509,2.3506,2.4344,-0.0838,5.4941,3.134,2.3601,2.4716,1.0,observed
11.0,4.8739,2.5286,2.3452,2.439,-0.0938,5.5971,3.3058,2.2913,2.4849,1.0,observed
12.0,4.9429,2.6055,2.3374,2.4439,-0.1064,5.7029,3.4513,2.2516,2.4975,1.0,observed
13.0,5.0083,2.6794,2.3289,2.4489,-0.12,5.7927,3.5658,2.227,2.5094,1.0,observed
14.0,5.0696,2.7486,2.321,2.454,-0.133,5.8661,3.648,2.2181,2.5206,1.0,observed
15.0,5.1265,2.812,2.3145,2.4592,-0.1447,5.9228,3.6994,2.2234,2.5311,1.0,observed
16.0,5.1787,2.8689,2.3098,2.4643,-0.1544,5.9629,3.7233,2.2396,2.5409,1.0,observed
17.0,5.2263,2.9192,2.3071,2.4693,-0.1623,5.9869,3.7241,2.2628,2.5501,1.0,observed
18.0,5.269,2.963,2.306,2.4743,-0.1682,5.9952,3.7064,2.2888,2.5587,1.0,observed
19.0,5.3069,3.0004,2.3065,2.4792,-0.1727,5.9884,3.6746,2.3138,2.5668,1.0,observed
20.0,5.3399,3.032,2.3078,2.4839,-0.1761,5.9673,3.633,2.3344,2.5743,1.0,observed
21.0,5.3711,3.0583,2.3128,2.4886,-0.1758,5.9957,3.5841,2.4117,2.5814,0.0,back-constructed
22.0,5.3976,3.0798,2.3179,2.4931,-0.1752,5.9545,3.5298,2.4247,2.588,0.0,back-constructed
23.0,5.4195,3.0968,2.3227,2.4975,-0.1748,5.9015,3.4722,2.4293,2.5942,0.0,back-constructed
24.0,5.437,3.11,2.3269,2.5018,-0.1748,5.8378,3.4139,2.4238,2.6,0.0,back-constructed
25.0,5.4501,3.1199,2.3301,2.5059,-0.1758,5.7641,3.3577,2.4064,2.6055,0.0,back-constructed
26.0,5.459,3.1271,2.3318,2.5099,-0.1781,5.6815,3.3069,2.3746,2.6105,0.0,back-constructed
27.0,5.4638,3.1322,2.3316,2.5138,-0.1822,5.5909,3.2647,2.3262,2.6153,0.0,back-constructed
28.0,5.4649,3.1359,2.329,2.5176,-0.1886,5.4931,3.2341,2.259,2.6198,0.0,back-constructed
29.0,5.4623,3.1387,2.3236,2.5213,-0.1977,5.389,3.2169,2.1721,2.6239,0.0,back-constructed
30.0,5.4562,3.1411,2.3151,2.5248,-0.2098,5.2794,3.2127,2.0667,2.6278,0.0,back-constructed
