tenor,market_erp,market_credit_rp,floor,a_mkt
1.0,2.4555,0.32,1.02,2.4555
2.0,2.3363,0.32,1.02,2.4555
3.0,2.2271,0.41,1.02,2.4555
4.0,2.1269,0.5,1.02,2.4555
5.0,2.035,0.56,1.02,2.4555
6.0,1.9508,0.62,1.02,2.4555
7.0,1.8735,0.68,1.02,2.4555
8.0,1.8027,0.74,1.02,2.4555
9.0,1.7377,0.7688,1.02,2.4555
10.0,1.6782,0.7662,1.02,2.4555
11.0,1.6235,0.7637,1.02,2.4555
12.0,1.5735,0.7612,1.02,2.4555
13.0,1.5275,0.764,1.02,2.4555
14.0,1.4854,0.772,1.02,2.4555
15.0,1.4468,0.78,1.02,2.4555
16.0,1.4114,0.788,1.02,2.4555
17.0,1.3789,0.796,1.02,2.4555
18.0,1.3491,0.804,1.02,2.4555
19.0,1.3218,0.812,1.02,2.4555
20.0,1.2967,0.82,1.02,2.4555
21.0,1.2738,0.82,1.02,2.4555
22.0,1.2527,0.82,1.02,2.4555
23.0,1.2334,0.82,1.02,2.4555
24.0,1.2157,0.82,1.02,2.4555
25.0,1.1994,0.82,1.02,2.4555
26.0,1.1845,0.82,1.02,2.4555
27.0,1.1709,0.82,1.02,2.4555
28.0,1.1584,0.82,1.02,2.4555
29.0,1.1469,0.82,1.02,2.4555
30.0,1.1363,0.82,1.02,2.4555
