as_of,nominal_5y,nominal_10y,nominal_30y,real_5y,real_10y,real_30y,5y5y_real,breakeven_5y,breakeven_10y,breakeven_30y,5y5y_breakeven,exp_infl_5y,exp_infl_10y,exp_infl_30y,slope_real_2s10s,slope_nominal_2s10s
2026-07-02,4.2198,4.5546,5.149,1.9683,2.269,2.8766,2.5697,2.2515,2.2857,2.2725,2.3198,2.5422,2.4888,2.5403,0.443,0.4764
2026-07-09,4.2598,4.6046,5.219,1.9831,2.3126,2.9318,2.6421,2.2767,2.292,2.2873,2.3074,2.5422,2.4888,2.5403,0.4824,0.5064
2026-07-10,4.2898,4.6246,5.229,2.0088,2.325,2.9169,2.6411,2.281,2.2997,2.3121,2.3184,2.5422,2.4888,2.5403,0.4623,0.4764
2026-07-13,4.3641,4.6973,5.281,2.0567,2.3595,2.9974,2.6623,2.3074,2.3378,2.2836,2.3682,2.4247,2.4344,2.5248,0.3916,0.5143
2026-07-14,4.3041,4.6573,5.261,2.0243,2.3309,2.9727,2.6375,2.2798,2.3264,2.2882,2.373,2.4247,2.4344,2.5248,0.4018,0.5543
2026-07-15,4.2541,4.6273,5.261,2.0039,2.3199,3.0076,2.6359,2.2502,2.3074,2.2533,2.3646,2.4247,2.4344,2.5248,0.4157,0.5743
2026-07-16,4.2741,4.6473,5.271,2.0334,2.3501,3.0278,2.6667,2.2407,2.2972,2.2431,2.3538,2.4247,2.4344,2.5248,0.4178,0.5643
2026-07-17,4.2741,4.6273,5.241,2.0039,2.3126,2.9781,2.6214,2.2702,2.3147,2.2629,2.3592,2.4247,2.4344,2.5248,0.4041,0.5243
2026-07-20,4.3216,4.6712,5.3041,2.0527,2.3608,2.9877,2.669,2.2688,2.3103,2.3164,2.3519,2.4247,2.4344,2.5248,0.3905,0.5407
2026-07-21,4.3616,4.7012,5.3241,2.0887,2.3831,2.9975,2.6774,2.2729,2.3181,2.3265,2.3634,2.4247,2.4344,2.5248,0.3692,0.5207
2026-07-22,4.4016,4.7412,5.3441,2.1085,2.4032,3.0126,2.6978,2.2931,2.338,2.3314,2.383,2.4247,2.4344,2.5248,0.3703,0.5107
2026-07-23,4.4516,4.7812,5.3641,2.1633,2.4457,3.0327,2.7282,2.2883,2.3355,2.3314,2.3826,2.4247,2.4344,2.5248,0.3542,0.4907
2026-07-24,4.4216,4.7612,5.3541,2.176,2.4456,3.0274,2.7151,2.2456,2.3156,2.3267,2.3857,2.4247,2.4344,2.5248,0.3324,0.5107
2026-07-27,4.3914,4.7191,5.2942,2.1977,2.4723,3.0625,2.747,2.1937,2.2468,2.2317,2.2999,2.4247,2.4344,2.5248,0.341,0.4917
2026-07-28,4.3414,4.6791,5.2642,2.1675,2.4416,3.0271,2.7157,2.1739,2.2376,2.2371,2.3012,2.4247,2.4344,2.5248,0.3419,0.5017
2026-07-29,4.3614,4.7391,5.3742,2.1169,2.4331,3.0776,2.7492,2.2444,2.3061,2.2965,2.3677,2.4247,2.4344,2.5248,0.402,0.6017
2026-07-30,4.3714,4.7491,5.3842,2.1255,2.4368,3.0928,2.7481,2.2459,2.3123,2.2914,2.3787,2.4247,2.4344,2.5248,0.3963,0.6017
2026-07-31,4.4414,4.8191,5.4442,2.1791,2.4957,3.1426,2.8124,2.2623,2.3234,2.3016,2.3845,2.4247,2.4344,2.5248,0.4076,0.6217
2026-08-03,4.3917,4.7848,5.4257,2.1535,2.457,3.1313,2.7605,2.2381,2.3278,2.2944,2.4175,2.4247,2.4344,2.5248,0.3831,0.6036
